SampleID	JobID	WallTime	MemUsed	State	Log
BMT114D-36	11058595	00:11:48	15.04 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT114D-36.11058595.log
BMT115D18	11058616	00:15:44	15.77 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT115D18.11058616.log
BMT115D4	11122478	00:20:00	11.21 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT115D4.11122478.log
BMT115pre	11058623	00:15:42	8.58 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT115pre.11058623.log
BMT116D1	11058637	00:11:37	18.79 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT116D1.11058637.log
BMT116D-3	11058630	00:10:48	18.35 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT116D-3.11058630.log
BMT118D10	11058651	00:09:50	17.87 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT118D10.11058651.log
BMT118D4	11058658	00:11:07	19.18 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT118D4.11058658.log
BMT118D-9	11058644	00:13:28	13.27 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT118D-9.11058644.log
BMT119D1	11058672	00:17:33	16.63 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT119D1.11058672.log
BMT119D-7	11058665	00:10:55	17.56 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT119D-7.11058665.log
BMT119D9	11058679	00:11:10	19.39 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT119D9.11058679.log
BMT120D0	11058693	00:19:10	30.77 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT120D0.11058693.log
BMT120D23	11058700	00:10:02	8.30 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT120D23.11058700.log
BMT120D-5	11058686	00:04:38	10.84 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT120D-5.11058686.log
BMT120D6	11058707	00:15:22	24.01 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT120D6.11058707.log
