SampleID	JobID	WallTime	MemUsed	State	Log
BMT114D28	11058611	00:15:39	31.98 GB	COMPLETED	UNC_short/0.4_host_decontamination/logs/BMT114D28.11058611.log
BMT114D-36	11058597	00:20:24	36.74 GB	COMPLETED	UNC_short/0.4_host_decontamination/logs/BMT114D-36.11058597.log
BMT115D18	11058618	00:27:08	57.56 GB	COMPLETED	UNC_short/0.4_host_decontamination/logs/BMT115D18.11058618.log
BMT115D4	11122480	00:23:19	71.70 GB	COMPLETED	UNC_short/0.4_host_decontamination/logs/BMT115D4.11122480.log
BMT115pre	11058625	00:25:39	51.34 GB	COMPLETED	UNC_short/0.4_host_decontamination/logs/BMT115pre.11058625.log
BMT116D1	11058639	00:20:19	25.79 GB	COMPLETED	UNC_short/0.4_host_decontamination/logs/BMT116D1.11058639.log
BMT116D-3	11058632	00:18:44	34.59 GB	COMPLETED	UNC_short/0.4_host_decontamination/logs/BMT116D-3.11058632.log
BMT118D10	11058653	00:17:45	23.56 GB	COMPLETED	UNC_short/0.4_host_decontamination/logs/BMT118D10.11058653.log
BMT118D4	11058660	00:19:41	23.16 GB	COMPLETED	UNC_short/0.4_host_decontamination/logs/BMT118D4.11058660.log
BMT118D-9	11058646	00:26:53	27.89 GB	COMPLETED	UNC_short/0.4_host_decontamination/logs/BMT118D-9.11058646.log
BMT119D1	11058674	00:29:44	51.27 GB	COMPLETED	UNC_short/0.4_host_decontamination/logs/BMT119D1.11058674.log
BMT119D-7	11058667	00:20:11	35.38 GB	COMPLETED	UNC_short/0.4_host_decontamination/logs/BMT119D-7.11058667.log
BMT119D9	11058681	00:18:43	36.84 GB	COMPLETED	UNC_short/0.4_host_decontamination/logs/BMT119D9.11058681.log
BMT120D0	11058695	00:30:17	65.47 GB	COMPLETED	UNC_short/0.4_host_decontamination/logs/BMT120D0.11058695.log
BMT120D23	11058702	00:16:00	36.95 GB	COMPLETED	UNC_short/0.4_host_decontamination/logs/BMT120D23.11058702.log
BMT120D-5	11058688	00:07:45	16.28 GB	COMPLETED	UNC_short/0.4_host_decontamination/logs/BMT120D-5.11058688.log
BMT120D6	11058709	00:25:01	49.60 GB	COMPLETED	UNC_short/0.4_host_decontamination/logs/BMT120D6.11058709.log
BMT121D0	11081305	00:17:12	35.10 GB	COMPLETED	UNC_short/0.4_host_decontamination/logs/BMT121D0.11081305.log
BMT121D15	11081312	00:44:26	66.28 GB	COMPLETED	UNC_short/0.4_host_decontamination/logs/BMT121D15.11081312.log
BMT121D22	11081319	00:19:17	42.49 GB	COMPLETED	UNC_short/0.4_host_decontamination/logs/BMT121D22.11081319.log
BMT121D26	11081326	00:20:23	36.17 GB	COMPLETED	UNC_short/0.4_host_decontamination/logs/BMT121D26.11081326.log
BMT121D-6	11081298	00:23:33	29.00 GB	COMPLETED	UNC_short/0.4_host_decontamination/logs/BMT121D-6.11081298.log
BMT123D0	11081340	00:37:18	62.21 GB	COMPLETED	UNC_short/0.4_host_decontamination/logs/BMT123D0.11081340.log
BMT123D-8	11081333	00:08:17	18.58 GB	COMPLETED	UNC_short/0.4_host_decontamination/logs/BMT123D-8.11081333.log
BMT124D0	11081354	00:23:15	39.93 GB	COMPLETED	UNC_short/0.4_host_decontamination/logs/BMT124D0.11081354.log
BMT124D-13	11081347	00:34:44	66.04 GB	COMPLETED	UNC_short/0.4_host_decontamination/logs/BMT124D-13.11081347.log
BMT124D17	11081361	00:14:40	30.69 GB	COMPLETED	UNC_short/0.4_host_decontamination/logs/BMT124D17.11081361.log
BMT124D7	11081368	00:24:18	39.61 GB	COMPLETED	UNC_short/0.4_host_decontamination/logs/BMT124D7.11081368.log
BMT125D0	11081382	00:19:02	42.61 GB	COMPLETED	UNC_short/0.4_host_decontamination/logs/BMT125D0.11081382.log
BMT125D-14	11081375	00:21:06	34.67 GB	COMPLETED	UNC_short/0.4_host_decontamination/logs/BMT125D-14.11081375.log
BMT125D21	11081389	00:39:47	80.50 GB	COMPLETED	UNC_short/0.4_host_decontamination/logs/BMT125D21.11081389.log
BMT125D7	11081396	00:11:47	29.58 GB	COMPLETED	UNC_short/0.4_host_decontamination/logs/BMT125D7.11081396.log
BMT126d1	11081424	00:25:32	37.33 GB	COMPLETED	UNC_short/0.4_host_decontamination/logs/BMT126d1.11081424.log
BMT126D-12	11081403	01:22:14	121.72 GB	COMPLETED	UNC_short/0.4_host_decontamination/logs/BMT126D-12.11081403.log
BMT126D21	11081410	00:34:36	71.58 GB	COMPLETED	UNC_short/0.4_host_decontamination/logs/BMT126D21.11081410.log
BMT126D2	11122484	00:38:15	111.06 GB	COMPLETED	UNC_short/0.4_host_decontamination/logs/BMT126D2.11122484.log
BMT126D8	11081417	00:22:21	25.62 GB	COMPLETED	UNC_short/0.4_host_decontamination/logs/BMT126D8.11081417.log
BMT127D1	11081438	00:17:13	35.57 GB	COMPLETED	UNC_short/0.4_host_decontamination/logs/BMT127D1.11081438.log
BMT127D-13	11081431	00:36:44	77.72 GB	COMPLETED	UNC_short/0.4_host_decontamination/logs/BMT127D-13.11081431.log
BMT127D21	11081445	00:37:27	65.46 GB	COMPLETED	UNC_short/0.4_host_decontamination/logs/BMT127D21.11081445.log
BMT127D6	11081452	00:31:42	66.40 GB	COMPLETED	UNC_short/0.4_host_decontamination/logs/BMT127D6.11081452.log
BMT128D-14	11081459	00:41:23	80.15 GB	COMPLETED	UNC_short/0.4_host_decontamination/logs/BMT128D-14.11081459.log
BMT129D0	11081473	00:41:29	86.79 GB	COMPLETED	UNC_short/0.4_host_decontamination/logs/BMT129D0.11081473.log
BMT129D15	11081480	00:26:26	45.20 GB	COMPLETED	UNC_short/0.4_host_decontamination/logs/BMT129D15.11081480.log
BMT129D23	11081487	00:28:58	41.86 GB	COMPLETED	UNC_short/0.4_host_decontamination/logs/BMT129D23.11081487.log
BMT129D28	11081494	00:23:10	42.59 GB	COMPLETED	UNC_short/0.4_host_decontamination/logs/BMT129D28.11081494.log
BMT129D-6	11081466	00:31:32	65.00 GB	COMPLETED	UNC_short/0.4_host_decontamination/logs/BMT129D-6.11081466.log
BMT130D0	11098917	00:31:34	71.87 GB	COMPLETED	UNC_short/0.4_host_decontamination/logs/BMT130D0.11098917.log
BMT130D20	11098921	00:21:36	39.26 GB	COMPLETED	UNC_short/0.4_host_decontamination/logs/BMT130D20.11098921.log
BMT130D25	11098925	00:26:35	60.58 GB	COMPLETED	UNC_short/0.4_host_decontamination/logs/BMT130D25.11098925.log
BMT130D-4	11081501	00:21:32	42.66 GB	COMPLETED	UNC_short/0.4_host_decontamination/logs/BMT130D-4.11081501.log
BMT130D7	11098929	00:24:51	59.85 GB	COMPLETED	UNC_short/0.4_host_decontamination/logs/BMT130D7.11098929.log
BMT131D0	11098937	00:44:24	78.67 GB	COMPLETED	UNC_short/0.4_host_decontamination/logs/BMT131D0.11098937.log
BMT131D14	11098941	00:24:26	47.28 GB	COMPLETED	UNC_short/0.4_host_decontamination/logs/BMT131D14.11098941.log
BMT131D22	11098945	00:16:53	38.89 GB	COMPLETED	UNC_short/0.4_host_decontamination/logs/BMT131D22.11098945.log
BMT131D267	11122488	00:31:43	67.14 GB	COMPLETED	UNC_short/0.4_host_decontamination/logs/BMT131D267.11122488.log
BMT131D-6	11098933	00:23:14	34.30 GB	COMPLETED	UNC_short/0.4_host_decontamination/logs/BMT131D-6.11098933.log
BMT131D7	11098949	00:25:17	31.54 GB	COMPLETED	UNC_short/0.4_host_decontamination/logs/BMT131D7.11098949.log
BMT132D3	11098953	00:17:18	42.48 GB	COMPLETED	UNC_short/0.4_host_decontamination/logs/BMT132D3.11098953.log
BMT132PRE	11122492	00:27:37	85.47 GB	COMPLETED	UNC_short/0.4_host_decontamination/logs/BMT132PRE.11122492.log
BMT133D1	11098965	00:34:30	49.39 GB	COMPLETED	UNC_short/0.4_host_decontamination/logs/BMT133D1.11098965.log
BMT133D15	11098961	00:29:33	49.12 GB	COMPLETED	UNC_short/0.4_host_decontamination/logs/BMT133D15.11098961.log
BMT133D26	11098969	00:25:24	47.34 GB	COMPLETED	UNC_short/0.4_host_decontamination/logs/BMT133D26.11098969.log
BMT133D-6	11098957	00:16:15	40.57 GB	COMPLETED	UNC_short/0.4_host_decontamination/logs/BMT133D-6.11098957.log
BMT134D15	11098973	00:43:02	44.27 GB	COMPLETED	UNC_short/0.4_host_decontamination/logs/BMT134D15.11098973.log
BMT134D186	11122496	00:28:27	54.97 GB	COMPLETED	UNC_short/0.4_host_decontamination/logs/BMT134D186.11122496.log
BMT134D2	11098977	00:23:37	47.23 GB	COMPLETED	UNC_short/0.4_host_decontamination/logs/BMT134D2.11098977.log
BMT134D8	11098981	00:30:18	68.34 GB	COMPLETED	UNC_short/0.4_host_decontamination/logs/BMT134D8.11098981.log
BMT134pre	11098985	00:31:53	75.76 GB	COMPLETED	UNC_short/0.4_host_decontamination/logs/BMT134pre.11098985.log
BMT138D5	11098989	00:25:06	54.93 GB	COMPLETED	UNC_short/0.4_host_decontamination/logs/BMT138D5.11098989.log
BMT138pre	11098993	00:53:26	97.82 GB	COMPLETED	UNC_short/0.4_host_decontamination/logs/BMT138pre.11098993.log
