SampleID	JobID	WallTime	MemUsed	State	Log
BMT114D28	11058610	00:24:20	5.69 GB	COMPLETED	UNC_short/0.3_sequence_trim/logs/BMT114D28.11058610.log
BMT114D-36	11058596	00:29:36	4.68 GB	COMPLETED	UNC_short/0.3_sequence_trim/logs/BMT114D-36.11058596.log
BMT115D18	11058617	00:40:51	8.24 GB	COMPLETED	UNC_short/0.3_sequence_trim/logs/BMT115D18.11058617.log
BMT115D4	11122479	00:53:04	9.64 GB	COMPLETED	UNC_short/0.3_sequence_trim/logs/BMT115D4.11122479.log
BMT115pre	11058624	00:37:24	5.68 GB	COMPLETED	UNC_short/0.3_sequence_trim/logs/BMT115pre.11058624.log
BMT116D1	11058638	00:29:17	3.90 GB	COMPLETED	UNC_short/0.3_sequence_trim/logs/BMT116D1.11058638.log
BMT116D-3	11058631	00:26:48	4.90 GB	COMPLETED	UNC_short/0.3_sequence_trim/logs/BMT116D-3.11058631.log
BMT118D10	11058652	00:24:51	3.76 GB	COMPLETED	UNC_short/0.3_sequence_trim/logs/BMT118D10.11058652.log
BMT118D4	11058659	00:35:07	5.57 GB	COMPLETED	UNC_short/0.3_sequence_trim/logs/BMT118D4.11058659.log
BMT118D-9	11058645	00:36:55	7.19 GB	COMPLETED	UNC_short/0.3_sequence_trim/logs/BMT118D-9.11058645.log
BMT119D1	11058673	00:53:14	10.15 GB	COMPLETED	UNC_short/0.3_sequence_trim/logs/BMT119D1.11058673.log
BMT119D-7	11058666	00:34:26	6.15 GB	COMPLETED	UNC_short/0.3_sequence_trim/logs/BMT119D-7.11058666.log
BMT119D9	11058680	00:27:42	6.43 GB	COMPLETED	UNC_short/0.3_sequence_trim/logs/BMT119D9.11058680.log
BMT120D0	11058694	00:58:16	6.53 GB	COMPLETED	UNC_short/0.3_sequence_trim/logs/BMT120D0.11058694.log
BMT120D23	11058701	00:24:34	4.07 GB	COMPLETED	UNC_short/0.3_sequence_trim/logs/BMT120D23.11058701.log
BMT120D-5	11058687	00:11:18	2.98 GB	COMPLETED	UNC_short/0.3_sequence_trim/logs/BMT120D-5.11058687.log
BMT120D6	11058708	00:43:43	4.64 GB	COMPLETED	UNC_short/0.3_sequence_trim/logs/BMT120D6.11058708.log
BMT121D0	11081304	00:30:17	4.67 GB	COMPLETED	UNC_short/0.3_sequence_trim/logs/BMT121D0.11081304.log
BMT121D15	11081311	01:04:20	6.66 GB	COMPLETED	UNC_short/0.3_sequence_trim/logs/BMT121D15.11081311.log
BMT121D22	11081318	00:35:19	7.10 GB	COMPLETED	UNC_short/0.3_sequence_trim/logs/BMT121D22.11081318.log
BMT121D26	11081325	00:31:40	4.00 GB	COMPLETED	UNC_short/0.3_sequence_trim/logs/BMT121D26.11081325.log
BMT121D-6	11081297	00:42:23	8.29 GB	COMPLETED	UNC_short/0.3_sequence_trim/logs/BMT121D-6.11081297.log
BMT123D0	11081339	00:54:09	8.33 GB	COMPLETED	UNC_short/0.3_sequence_trim/logs/BMT123D0.11081339.log
BMT123D-8	11081332	00:12:03	3.29 GB	COMPLETED	UNC_short/0.3_sequence_trim/logs/BMT123D-8.11081332.log
BMT124D0	11081353	00:34:33	2.28 GB	COMPLETED	UNC_short/0.3_sequence_trim/logs/BMT124D0.11081353.log
BMT124D-13	11081346	00:53:36	10.87 GB	COMPLETED	UNC_short/0.3_sequence_trim/logs/BMT124D-13.11081346.log
BMT124D17	11081360	00:27:59	5.43 GB	COMPLETED	UNC_short/0.3_sequence_trim/logs/BMT124D17.11081360.log
BMT124D7	11081367	00:36:11	6.43 GB	COMPLETED	UNC_short/0.3_sequence_trim/logs/BMT124D7.11081367.log
BMT125D0	11081381	00:36:27	6.36 GB	COMPLETED	UNC_short/0.3_sequence_trim/logs/BMT125D0.11081381.log
BMT125D-14	11081374	00:31:04	3.81 GB	COMPLETED	UNC_short/0.3_sequence_trim/logs/BMT125D-14.11081374.log
BMT125D21	11081388	01:13:13	9.60 GB	COMPLETED	UNC_short/0.3_sequence_trim/logs/BMT125D21.11081388.log
