SampleID	JobID	WallTime	MemUsed	State	Log
BMT114D-36	11165474	00:33:34	3.68 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT114D-36.11165474.log
BMT115D18	11165483	00:47:14	4.94 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT115D18.11165483.log
BMT115D4	11165738	00:56:06	3.97 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT115D4.11165738.log
BMT115pre	11165486	00:45:48	3.80 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT115pre.11165486.log
BMT116D1	11165492	00:36:40	2.03 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT116D1.11165492.log
BMT116D-3	11165489	00:30:17	3.46 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT116D-3.11165489.log
BMT118D10	11165498	00:33:36	3.52 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT118D10.11165498.log
BMT118D4	11165501	00:35:13	3.75 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT118D4.11165501.log
BMT118D-9	11165495	00:38:25	4.00 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT118D-9.11165495.log
BMT119D1	11165507	00:51:20	3.03 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT119D1.11165507.log
BMT119D-7	11165504	00:32:34	3.13 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT119D-7.11165504.log
BMT119D9	11165510	00:31:22	3.62 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT119D9.11165510.log
BMT120D0	11165516	00:39:21	2.75 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT120D0.11165516.log
BMT120D23	11165519	00:21:57	3.42 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT120D23.11165519.log
BMT120D-5	11165513	00:14:35	2.17 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT120D-5.11165513.log
BMT120D6	11165522	00:43:54	4.60 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT120D6.11165522.log
BMT121D0	11165528	00:28:26	3.51 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT121D0.11165528.log
BMT121D15	11165531	01:03:39	5.82 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT121D15.11165531.log
BMT121D22	11165534	00:34:31	3.10 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT121D22.11165534.log
BMT121D26	11165537	00:31:18	3.55 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT121D26.11165537.log
BMT121D-6	11165525	00:29:17	4.31 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT121D-6.11165525.log
BMT123D0	11165543	00:52:53	4.82 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT123D0.11165543.log
BMT123D-8	11165540	00:12:18	1.74 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT123D-8.11165540.log
BMT124D0	11165549	00:35:02	1.98 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT124D0.11165549.log
BMT124D-13	11165546	00:56:44	5.00 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT124D-13.11165546.log
BMT124D17	11165552	00:30:56	3.30 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT124D17.11165552.log
BMT124D7	11165555	00:33:46	3.55 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT124D7.11165555.log
BMT125D0	11165561	00:37:02	2.67 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT125D0.11165561.log
BMT125D-14	11165558	00:31:02	3.38 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT125D-14.11165558.log
BMT125D21	11165564	01:09:27	6.38 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT125D21.11165564.log
BMT125D7	11165567	00:23:24	2.53 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT125D7.11165567.log
BMT126d1	11165579	00:35:21	3.21 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT126d1.11165579.log
