SampleID	JobID	WallTime	MemUsed	Nodes	Cores	CPU_Util	State	Log
D20117D108	11147519	01:10:08	6.49 GB	1	24	01:09:04	COMPLETED	Duke_short/5.3_shortbred/logs/D20117D108.11147519.log
D20117D12	11147522	00:55:13	4.81 GB	1	24	00:54:46	COMPLETED	Duke_short/5.3_shortbred/logs/D20117D12.11147522.log
D20117D196	11147525	01:09:38	4.46 GB	1	24	01:08:37	COMPLETED	Duke_short/5.3_shortbred/logs/D20117D196.11147525.log
D20117D20	11147528	00:40:19	5.62 GB	1	24	00:40:03	COMPLETED	Duke_short/5.3_shortbred/logs/D20117D20.11147528.log
D20117D267	11147531	00:49:38	6.27 GB	1	24	00:49:20	COMPLETED	Duke_short/5.3_shortbred/logs/D20117D267.11147531.log
D20117D29	11147534	01:04:09	7.35 GB	1	24	01:03:22	COMPLETED	Duke_short/5.3_shortbred/logs/D20117D29.11147534.log
D20117D357	11147537	00:49:19	5.88 GB	1	24	00:48:57	COMPLETED	Duke_short/5.3_shortbred/logs/D20117D357.11147537.log
D20117D4	11147540	00:30:23	2.14 GB	1	24	00:30:08	COMPLETED	Duke_short/5.3_shortbred/logs/D20117D4.11147540.log
D20117D44	11147543	00:38:29	5.46 GB	1	24	00:38:10	COMPLETED	Duke_short/5.3_shortbred/logs/D20117D44.11147543.log
D20117D537	11147546	00:34:01	4.59 GB	1	24	00:33:44	COMPLETED	Duke_short/5.3_shortbred/logs/D20117D537.11147546.log
D20117D743	11147549	01:08:47	5.72 GB	1	24	01:07:42	COMPLETED	Duke_short/5.3_shortbred/logs/D20117D743.11147549.log
D20117D76	11147552	00:55:59	4.70 GB	1	24	00:55:34	COMPLETED	Duke_short/5.3_shortbred/logs/D20117D76.11147552.log
D20117PRE	11147555	01:21:46	6.93 GB	1	24	01:20:21	COMPLETED	Duke_short/5.3_shortbred/logs/D20117PRE.11147555.log
D20215D0	11147558	00:40:33	4.15 GB	1	24	00:40:15	COMPLETED	Duke_short/5.3_shortbred/logs/D20215D0.11147558.log
D20215D16	11147561	01:01:41	1.23 GB	1	24	01:00:55	COMPLETED	Duke_short/5.3_shortbred/logs/D20215D16.11147561.log
D20215D177	11147564	01:29:47	7.93 GB	1	24	01:27:50	COMPLETED	Duke_short/5.3_shortbred/logs/D20215D177.11147564.log
D20215D22	11147567	00:39:53	3.59 GB	1	24	00:39:32	COMPLETED	Duke_short/5.3_shortbred/logs/D20215D22.11147567.log
D20215D28	11147570	00:43:23	4.25 GB	1	24	00:42:41	COMPLETED	Duke_short/5.3_shortbred/logs/D20215D28.11147570.log
D20215D37	11147573	00:46:43	4.69 GB	1	24	00:45:31	COMPLETED	Duke_short/5.3_shortbred/logs/D20215D37.11147573.log
D20215D70	11147576	00:47:20	4.03 GB	1	24	00:46:13	COMPLETED	Duke_short/5.3_shortbred/logs/D20215D70.11147576.log
D20215D91	11147579	00:59:15	4.68 GB	1	24	00:57:39	COMPLETED	Duke_short/5.3_shortbred/logs/D20215D91.11147579.log
D20215PRE	11147582	01:05:31	5.87 GB	1	24	01:03:29	COMPLETED	Duke_short/5.3_shortbred/logs/D20215PRE.11147582.log
D20231D1	11147585	00:48:46	4.47 GB	1	24	00:47:30	COMPLETED	Duke_short/5.3_shortbred/logs/D20231D1.11147585.log
D20231D14	11147588	00:44:45	4.57 GB	1	24	00:43:37	COMPLETED	Duke_short/5.3_shortbred/logs/D20231D14.11147588.log
D20231D188	11147591	00:38:04	4.81 GB	1	24	00:36:50	COMPLETED	Duke_short/5.3_shortbred/logs/D20231D188.11147591.log
D20231D21	11147594	00:34:31	4.66 GB	1	24	00:33:20	COMPLETED	Duke_short/5.3_shortbred/logs/D20231D21.11147594.log
D20231D29	11147597	00:38:17	5.20 GB	1	24	00:36:59	COMPLETED	Duke_short/5.3_shortbred/logs/D20231D29.11147597.log
D20231D69	11147600	00:58:57	5.39 GB	1	24	00:56:38	COMPLETED	Duke_short/5.3_shortbred/logs/D20231D69.11147600.log
D20231D90	11147958	00:55:15	5.29 GB	1	24	00:54:38	COMPLETED	Duke_short/5.3_shortbred/logs/D20231D90.11147958.log
D20231PRE	11147603	00:55:06	5.07 GB	1	24	00:53:30	COMPLETED	Duke_short/5.3_shortbred/logs/D20231PRE.11147603.log
D20236D0	11147606	00:23:24	2.51 GB	1	24	00:22:41	COMPLETED	Duke_short/5.3_shortbred/logs/D20236D0.11147606.log
D20236D14	11147609	00:31:38	4.64 GB	1	24	00:30:28	COMPLETED	Duke_short/5.3_shortbred/logs/D20236D14.11147609.log
D20236D169	11147612	00:10:27	2.15 GB	1	24	00:09:56	COMPLETED	Duke_short/5.3_shortbred/logs/D20236D169.11147612.log
D20236D27	11147615	00:48:55	5.10 GB	1	24	00:46:22	COMPLETED	Duke_short/5.3_shortbred/logs/D20236D27.11147615.log
D20236D34	11147618	00:56:22	5.23 GB	1	24	00:54:23	COMPLETED	Duke_short/5.3_shortbred/logs/D20236D34.11147618.log
D20236D43	11147621	01:00:45	5.45 GB	1	24	00:58:20	COMPLETED	Duke_short/5.3_shortbred/logs/D20236D43.11147621.log
D20236D56	11147624	01:00:16	5.12 GB	1	24	00:57:30	COMPLETED	Duke_short/5.3_shortbred/logs/D20236D56.11147624.log
D20236D68	11147627	00:55:37	5.28 GB	1	24	00:53:07	COMPLETED	Duke_short/5.3_shortbred/logs/D20236D68.11147627.log
D20236D8	11147630	01:08:18	6.03 GB	1	24	01:05:23	COMPLETED	Duke_short/5.3_shortbred/logs/D20236D8.11147630.log
