SampleID	JobID	WallTime	MemUsed	Nodes	Cores	CPU_Util	State	Log
D19840D19	10673234	00:14:46	19.75 GB	1	32	00:30:00	COMPLETED	Duke_short/0.2_deduplication/logs/D19840D19.10673234.log
D19840D196	10673241	00:17:47	8.08 GB	1	32	00:36:37	COMPLETED	Duke_short/0.2_deduplication/logs/D19840D196.10673241.log
D19840D368	10673248	00:20:32	9.77 GB	1	32	00:41:47	COMPLETED	Duke_short/0.2_deduplication/logs/D19840D368.10673248.log
D19840D6	11080877	00:22:21	30.81 GB	1	32	00:45:05	COMPLETED	Duke_short/0.2_deduplication/logs/D19840D6.11080877.log
D19840D63	10673255	00:27:14	22.97 GB	1	32	00:55:35	COMPLETED	Duke_short/0.2_deduplication/logs/D19840D63.10673255.log
D19840D767	10673262	00:21:08	9.40 GB	1	32	00:43:16	COMPLETED	Duke_short/0.2_deduplication/logs/D19840D767.10673262.log
D19840PRE	10673269	00:16:58	28.20 GB	1	32	00:34:29	COMPLETED	Duke_short/0.2_deduplication/logs/D19840PRE.10673269.log
D20117D108	10673276	00:28:05	37.47 GB	1	32	00:56:55	COMPLETED	Duke_short/0.2_deduplication/logs/D20117D108.10673276.log
D20117D12	10673283	00:20:13	27.74 GB	1	32	00:41:34	COMPLETED	Duke_short/0.2_deduplication/logs/D20117D12.10673283.log
D20117D196	10673290	00:20:09	33.43 GB	1	32	00:41:26	COMPLETED	Duke_short/0.2_deduplication/logs/D20117D196.10673290.log
D20117D20	10673297	00:24:03	18.13 GB	1	32	00:49:07	COMPLETED	Duke_short/0.2_deduplication/logs/D20117D20.10673297.log
D20117D267	10673304	00:27:23	33.68 GB	1	32	00:55:35	COMPLETED	Duke_short/0.2_deduplication/logs/D20117D267.10673304.log
D20117D29	10673311	00:32:02	46.33 GB	1	32	01:06:32	COMPLETED	Duke_short/0.2_deduplication/logs/D20117D29.10673311.log
D20117D357	10673318	00:26:55	25.99 GB	1	32	00:54:45	COMPLETED	Duke_short/0.2_deduplication/logs/D20117D357.10673318.log
D20117D4	10673325	00:17:20	19.69 GB	1	32	00:35:59	COMPLETED	Duke_short/0.2_deduplication/logs/D20117D4.10673325.log
D20117D44	10673332	00:22:20	8.62 GB	1	32	00:45:44	COMPLETED	Duke_short/0.2_deduplication/logs/D20117D44.10673332.log
D20117D537	10678178	00:15:40	25.60 GB	1	32	00:30:41	COMPLETED	Duke_short/0.2_deduplication/logs/D20117D537.10678178.log
D20117D743	10678185	00:27:08	21.65 GB	1	32	00:55:47	COMPLETED	Duke_short/0.2_deduplication/logs/D20117D743.10678185.log
D20117D76	10678192	00:16:52	8.31 GB	1	32	00:33:20	COMPLETED	Duke_short/0.2_deduplication/logs/D20117D76.10678192.log
D20117PRE	10678199	00:27:02	42.79 GB	1	32	00:53:50	COMPLETED	Duke_short/0.2_deduplication/logs/D20117PRE.10678199.log
D20215D0	10678206	00:13:00	24.93 GB	1	32	00:26:06	COMPLETED	Duke_short/0.2_deduplication/logs/D20215D0.10678206.log
D20215D16	10678213	00:25:13	11.67 GB	1	32	00:51:31	COMPLETED	Duke_short/0.2_deduplication/logs/D20215D16.10678213.log
D20215D177	10678220	00:29:17	48.08 GB	1	32	00:58:54	COMPLETED	Duke_short/0.2_deduplication/logs/D20215D177.10678220.log
