SampleID	JobID	WallTime	MemUsed	Nodes	Cores	CPU_Util	State	Log
D19836D0	11147470	00:06:06	86.34 GB	1	16	00:13:16	COMPLETED	Duke_short/2.1_kraken2/logs/D19836D0.11147470.log
D19836D13	11147473	00:05:23	153.59 GB	1	16	00:10:28	COMPLETED	Duke_short/2.1_kraken2/logs/D19836D13.11147473.log
D19836D189	11147476	00:06:42	106.39 GB	1	16	00:15:19	COMPLETED	Duke_short/2.1_kraken2/logs/D19836D189.11147476.log
D19836D21	11147479	00:06:07	104.70 GB	1	16	00:14:30	COMPLETED	Duke_short/2.1_kraken2/logs/D19836D21.11147479.log
D19836D29	11147948	00:06:24	164.89 GB	1	16	00:13:35	COMPLETED	Duke_short/2.1_kraken2/logs/D19836D29.11147948.log
D19836D365	11147482	00:12:01	106.63 GB	1	16	00:30:01	COMPLETED	Duke_short/2.1_kraken2/logs/D19836D365.11147482.log
D19836D56	11147485	00:08:08	122.31 GB	1	16	00:20:52	COMPLETED	Duke_short/2.1_kraken2/logs/D19836D56.11147485.log
D19836D8	11147981	00:02:52	150.08 GB	1	16	00:05:04	COMPLETED	Duke_short/2.1_kraken2/logs/D19836D8.11147981.log
D19836D92	11147488	00:04:52	82.69 GB	1	16	00:12:21	COMPLETED	Duke_short/2.1_kraken2/logs/D19836D92.11147488.log
D19836PRE	11147491	00:05:09	155.84 GB	1	16	00:09:06	COMPLETED	Duke_short/2.1_kraken2/logs/D19836PRE.11147491.log
D19840D106	11147494	00:08:17	92.30 GB	1	16	00:17:18	COMPLETED	Duke_short/2.1_kraken2/logs/D19840D106.11147494.log
D19840D12	11147497	00:07:17	131.52 GB	1	16	00:15:07	COMPLETED	Duke_short/2.1_kraken2/logs/D19840D12.11147497.log
D19840D15	11147951	00:06:02	107.96 GB	1	16	00:14:08	COMPLETED	Duke_short/2.1_kraken2/logs/D19840D15.11147951.log
D19840D19	11147500	00:06:54	115.69 GB	1	16	00:18:16	COMPLETED	Duke_short/2.1_kraken2/logs/D19840D19.11147500.log
D19840D196	11147503	00:06:50	102.37 GB	1	16	00:13:20	COMPLETED	Duke_short/2.1_kraken2/logs/D19840D196.11147503.log
D19840D368	11147506	00:08:58	109.24 GB	1	16	00:21:02	COMPLETED	Duke_short/2.1_kraken2/logs/D19840D368.11147506.log
D19840D6	11147954	00:07:58	137.67 GB	1	16	00:17:34	COMPLETED	Duke_short/2.1_kraken2/logs/D19840D6.11147954.log
D19840D63	11147509	00:09:51	127.25 GB	1	16	00:24:30	COMPLETED	Duke_short/2.1_kraken2/logs/D19840D63.11147509.log
D19840D767	11147512	00:07:06	93.10 GB	1	16	00:17:29	COMPLETED	Duke_short/2.1_kraken2/logs/D19840D767.11147512.log
D19840PRE	11147515	00:07:36	112.95 GB	1	16	00:19:20	COMPLETED	Duke_short/2.1_kraken2/logs/D19840PRE.11147515.log
D20117D108	11147518	00:09:31	118.57 GB	1	16	00:24:30	COMPLETED	Duke_short/2.1_kraken2/logs/D20117D108.11147518.log
D20117D12	11147521	00:05:39	125.37 GB	1	16	00:10:53	COMPLETED	Duke_short/2.1_kraken2/logs/D20117D12.11147521.log
D20117D196	11147524	00:08:20	96.42 GB	1	16	00:20:46	COMPLETED	Duke_short/2.1_kraken2/logs/D20117D196.11147524.log
D20117D20	11147527	00:08:48	100.54 GB	1	16	00:22:01	COMPLETED	Duke_short/2.1_kraken2/logs/D20117D20.11147527.log
D20117D267	11147530	00:08:59	105.03 GB	1	16	00:21:03	COMPLETED	Duke_short/2.1_kraken2/logs/D20117D267.11147530.log
