SampleID	JobID	WallTime	MemUsed	Nodes	Cores	CPU_Util	State	Log
D20236PRE	13111901	01:14:18	36.40 GB	1	48	05:42:32	COMPLETED	Duke_short/3.2_refine_bins/logs/D20236PRE.13111901.log
D20248D1	13111905	00:49:42	35.29 GB	1	48	01:54:46	COMPLETED	Duke_short/3.2_refine_bins/logs/D20248D1.13111905.log
D20248D14	13111909	01:00:52	36.14 GB	1	48	03:31:39	COMPLETED	Duke_short/3.2_refine_bins/logs/D20248D14.13111909.log
D20248D194	13111913	01:29:44	35.82 GB	1	48	06:17:19	COMPLETED	Duke_short/3.2_refine_bins/logs/D20248D194.13111913.log
D20248D21	13111917	01:36:52	37.38 GB	1	48	08:11:52	COMPLETED	Duke_short/3.2_refine_bins/logs/D20248D21.13111917.log
D20248D28	13111921	00:41:57	34.72 GB	1	48	01:35:47	COMPLETED	Duke_short/3.2_refine_bins/logs/D20248D28.13111921.log
D20248D54	13111925	01:14:31	37.03 GB	1	48	05:13:40	COMPLETED	Duke_short/3.2_refine_bins/logs/D20248D54.13111925.log
D20248D8	13111929	00:56:10	35.32 GB	1	48	03:22:16	COMPLETED	Duke_short/3.2_refine_bins/logs/D20248D8.13111929.log
D20248PRE	13111933	01:27:30	35.47 GB	1	48	05:15:25	COMPLETED	Duke_short/3.2_refine_bins/logs/D20248PRE.13111933.log
D20622D11	13111941	01:14:35	37.09 GB	1	48	05:54:15	COMPLETED	Duke_short/3.2_refine_bins/logs/D20622D11.13111941.log
D20622D-1	13111937	01:24:08	35.64 GB	1	48	06:09:11	COMPLETED	Duke_short/3.2_refine_bins/logs/D20622D-1.13111937.log
D20622D14	13111945	00:35:03	33.82 GB	1	48	00:55:48	COMPLETED	Duke_short/3.2_refine_bins/logs/D20622D14.13111945.log
D20622D167	13111949	00:30:12	33.80 GB	1	48	00:44:14	COMPLETED	Duke_short/3.2_refine_bins/logs/D20622D167.13111949.log
D20622D20	13111953	00:49:36	34.73 GB	1	48	02:08:00	COMPLETED	Duke_short/3.2_refine_bins/logs/D20622D20.13111953.log
D20622D25	13111957	00:44:33	34.38 GB	1	48	01:15:03	COMPLETED	Duke_short/3.2_refine_bins/logs/D20622D25.13111957.log
D20622D276	13111961	00:36:22	34.73 GB	1	48	00:52:15	COMPLETED	Duke_short/3.2_refine_bins/logs/D20622D276.13111961.log
D20622D28	13111965	01:09:01	35.40 GB	1	48	04:11:03	COMPLETED	Duke_short/3.2_refine_bins/logs/D20622D28.13111965.log
D20622D32	13111969	00:55:43	34.89 GB	1	48	02:29:06	COMPLETED	Duke_short/3.2_refine_bins/logs/D20622D32.13111969.log
D20622D64	13111973	01:08:49	37.10 GB	1	48	05:13:16	COMPLETED	Duke_short/3.2_refine_bins/logs/D20622D64.13111973.log
D20622D7	13111977	00:28:55	34.64 GB	1	48	00:46:42	COMPLETED	Duke_short/3.2_refine_bins/logs/D20622D7.13111977.log
D20622D90	13111981	01:16:58	35.61 GB	1	48	05:22:39	COMPLETED	Duke_short/3.2_refine_bins/logs/D20622D90.13111981.log
D20622PRE	13111985	01:00:58	35.76 GB	1	48	04:09:45	COMPLETED	Duke_short/3.2_refine_bins/logs/D20622PRE.13111985.log
D20653D103	13111989	01:04:16	35.75 GB	1	48	04:34:46	COMPLETED	Duke_short/3.2_refine_bins/logs/D20653D103.13111989.log
D20653D12	13112346	00:55:43	34.91 GB	1	48	02:32:33	COMPLETED	Duke_short/3.2_refine_bins/logs/D20653D12.13112346.log
D20653D22	13112350	00:41:13	34.01 GB	1	48	01:05:21	COMPLETED	Duke_short/3.2_refine_bins/logs/D20653D22.13112350.log
D20653D29	13112354	00:48:21	34.77 GB	1	48	01:50:00	COMPLETED	Duke_short/3.2_refine_bins/logs/D20653D29.13112354.log
D20653D7	13111993	00:55:39	34.83 GB	1	48	02:50:55	COMPLETED	Duke_short/3.2_refine_bins/logs/D20653D7.13111993.log
D20653PRE	13111997	00:41:00	34.76 GB	1	48	01:54:30	COMPLETED	Duke_short/3.2_refine_bins/logs/D20653PRE.13111997.log
D20726D0	13112001	00:54:22	34.75 GB	1	48	02:37:23	COMPLETED	Duke_short/3.2_refine_bins/logs/D20726D0.13112001.log
D20726D174	13112005	00:35:19	34.40 GB	1	48	00:58:29	COMPLETED	Duke_short/3.2_refine_bins/logs/D20726D174.13112005.log
D20726D28	13112009	01:29:08	36.00 GB	1	48	06:24:00	COMPLETED	Duke_short/3.2_refine_bins/logs/D20726D28.13112009.log
D20726D366	13112013	01:27:49	37.02 GB	1	48	06:59:19	COMPLETED	Duke_short/3.2_refine_bins/logs/D20726D366.13112013.log
D20726D62	13112017	00:43:27	34.67 GB	1	48	02:08:12	COMPLETED	Duke_short/3.2_refine_bins/logs/D20726D62.13112017.log
D20726D97	13112021	00:56:58	34.57 GB	1	48	02:14:21	COMPLETED	Duke_short/3.2_refine_bins/logs/D20726D97.13112021.log
D20726PRE	13112025	01:32:48	36.23 GB	1	48	07:48:45	COMPLETED	Duke_short/3.2_refine_bins/logs/D20726PRE.13112025.log
D20784D113	13112029	01:38:15	37.38 GB	1	48	08:18:48	COMPLETED	Duke_short/3.2_refine_bins/logs/D20784D113.13112029.log
D20784D12	13112358	00:41:53	34.83 GB	1	48	01:45:31	COMPLETED	Duke_short/3.2_refine_bins/logs/D20784D12.13112358.log
D20784D171	13112033	01:23:19	36.64 GB	1	48	06:54:47	COMPLETED	Duke_short/3.2_refine_bins/logs/D20784D171.13112033.log
D20784D24	13112037	00:44:08	35.05 GB	1	48	02:05:05	COMPLETED	Duke_short/3.2_refine_bins/logs/D20784D24.13112037.log
D20784D61	13112041	01:06:59	35.20 GB	1	48	03:50:51	COMPLETED	Duke_short/3.2_refine_bins/logs/D20784D61.13112041.log
D20784D7	13112045	00:52:23	34.80 GB	1	48	01:59:50	COMPLETED	Duke_short/3.2_refine_bins/logs/D20784D7.13112045.log
D20784D89	13112049	01:00:59	35.59 GB	1	48	04:23:20	COMPLETED	Duke_short/3.2_refine_bins/logs/D20784D89.13112049.log
D20784PRE	13112053	01:04:48	35.81 GB	1	48	04:16:20	COMPLETED	Duke_short/3.2_refine_bins/logs/D20784PRE.13112053.log
D20923D15	13112057	01:21:03	35.73 GB	1	48	04:49:24	COMPLETED	Duke_short/3.2_refine_bins/logs/D20923D15.13112057.log
D20923D22	13112061	01:04:10	35.69 GB	1	48	04:22:12	COMPLETED	Duke_short/3.2_refine_bins/logs/D20923D22.13112061.log
