SampleID	Actinomycetota	Bacteroidota	Campylobacterota	Candidatus_Melainabacteria	Candidatus_Saccharibacteria	Chloroflexota	Cyanobacteriota	Firmicutes	Fusobacteriota	Lentisphaerota	Pseudomonadota	Synergistota	Thermodesulfobacteriota	Unclassified	UNCLASSIFIED	Verrucomicrobiota
BMT101D14	0.577594894784716	0.0005833608674162	0	0	0	0	0	46.1113539486643	0	0	37.8555210444199	0	0	0	15.45495	0
BMT101D1	0.424225619067323	0.0003652065430718	0	0	0	0	0	21.7033755372169	0	0	62.8037963330995	0	0	0	15.06825	0
BMT101D30	1.06776824398534	37.6854231656981	0	0	0	0	0	44.5248955467676	0	0	8.37059549489875	0	0	0	8.35001	0.0013014299012567
BMT101D-7	0.0536514007622946	0	0	0	0	0	0	36.1977600298661	0	0	53.2103982361688	0	0	0	10.53627	0.0019234702624467
BMT101D7	0.738401621584294	0.6368617593045	0	0	0	0	0	50.3095576009849	0	0	34.9606883907523	0	0	0	13.3545	0
BMT102D10	0.0825397292057462	18.3523732002316	0	0	0.0304669260841676	0	0	75.8010899386462	0	0	0	0	0	0	5.73352	0
BMT102D14	29.7742280404137	0.0046948641216445	0	0	0.328739154661281	0	0	51.9830319913983	0.131094419536778	0	0	0	0	0	17.77821	0
BMT102D28	14.6455661648814	4.4178898942629	0.01565162363696	0	0	0	0	75.259912424441	0	0	0	0	1.9786638125319	0	3.68232	0
BMT102D3	0.637897951556111	3.89523489146022	0.0408785994274151	0	0.0078423096906354	0	0	84.8579405548319	0	0	0.176384748241949	0	0.0102174091969421	0	10.3736	0
BMT102D-9	5.64191072270965	12.3210264291127	0.0247658645540456	0	0.0179618619078808	0	0	68.2005639075034	0	0	1.00693951078282	0	0.918690186306071	0	11.86525	0.0028820063021967
BMT103D14	9.73690399112395	0.0314820740295881	0	0	0	0	0	72.4248118794077	0	0	0	0	0.155936320644594	0	17.65087	0
BMT103D-1	11.4227504855766	18.1822617144525	0	0	0	0	0	55.0180733900124	0.0770041203828052	0	1.0187470683654	0	0.213679774292918	0	14.06749	0
BMT103D24	3.41625990456633	1.74608432710543	0	0	0.0035980237876811	0	0	74.0027602248432	0.0257593030463192	0	0	0	0.404323943025863	0.0035104612618747	20.3977	0
BMT103D27	2.42687671547601	12.671644434484	0	0	0	0	0	64.5938242496158	0.431915432369352	0	0	0	0.762231306807893	0.0147083927630368	19.09575	0.0030500902484405
BMT103D-8	12.6507716165066	7.49721357912633	0	0	0	0	0	63.9161559231139	0.0011552245796516	0	0.0511165795755334	0	0.203327958314886	0.0032127048528997	15.67704	0
BMT103D8	1.99148266165775	40.8188553428149	0.0031675628134918	0	0	0	0	28.8837399038714	5.22280492250368	0	0	0	4.62860932503669	0.0895489600546196	18.36178	0
BMT104D0	22.6450943669496	3.97710637552257	0.0343437471632388	0	0.0217540589799273	0	0	55.1834357814471	0	0	0.0007081184982111	0	0.384714192929276	0.0921953816798814	17.66064	0
BMT104D14	1.86282767762621	30.3573724359818	0	0	0	0	0	50.0209934734584	0	0	0	0	0.416316924097213	0.013938407681558	17.32854	0
BMT104D24	0.243634306646188	13.8941062810622	0	0	0	0	0	71.6437779188842	0	0	0	0	0.986848835033726	0.116660526919096	13.11497	0
BMT104D29	10.7289011545369	26.6465551226554	0	0	0	0	0	48.6023982005824	0	0	0	0	0.349140111461635	0.0868119090103106	13.5856	0.0005962593790276
BMT104D-53	17.2067728367378	7.61488846277873	0.0182735748555446	0	0	0	0	61.9527686185794	0	0	0	0	0.604297576535826	0.149848567358788	12.44094	0.0122144882239984
BMT104D7	1.27123360860024	11.4968694127198	0	0	0	0	0	71.5581232097922	0	0	0	0	0.969689496213533	0.0137604507675264	14.69032	0
BMT105D-1	2.86737680679344	18.4805479961769	0	0	0.0523167929103442	0	0	57.7366163481827	0	0	0.663009216315291	0	0	0	20.20013	0
BMT105D7	0.0083833423575637	39.4889416324341	0	0	0	0	0	48.5604577699967	0	0	0.0025273311519125	0	0	0	11.93968	0
BMT105D-8	3.25108392683164	4.87703021592362	0	0	0.0058133047216681	0	0	81.6276844720813	0	0	0.0885383380638608	0	0	0	10.14985	0
BMT106D0	1.4625517337153	45.405101257265	0.0145993094953978	0	0	0	0	29.0192108976038	0	0	1.12594283912474	0	0.003083275500612	0.0329679232902938	22.91811	0.0184302793049082
BMT106D14	2.79108991805045	27.2734142631887	0	0	0	0	0	43.6181032465166	0.0029534374635839	0	0.308322232113858	0	0.244195201214408	0.0014559198764146	16.80458	8.95588729098172
BMT106PRE	7.01792489992836	28.0791487242228	0	0	0	0	0	45.6699043934686	0	0	0.0014932576781401	0	2.14883212660646	0.19508467551427	14.18059	2.7070187122478
BMT108D0	2.32533473161267	2.04346591076644	0	0	0.016650658551273	0	0	49.3310806875549	0	0	15.2897333697344	3.30118256016981	0.32983634461133	0	14.83039	12.5323246949174
BMT108D-33	11.8556483690604	19.4651086882322	0	0	0	0	0	50.368928892396	0	0	0.969016684812718	0.0660287612119163	0.312865251723753	0.0160777281657709	16.60929	0.337023539325536
BMT108PRE	12.5643497633871	18.8329671330333	0	0	0.0032413748220809	0	0	50.9192021393074	0	0	0.910893503757546	0.0762898711362843	0.279203293936193	0.0247637677469347	16.02656	0.362538536771249
BMT109D0	2.36819063569586	2.29364831908231	0	0	0	0	0	81.7551871536896	0	0	0.0223860407971775	0	0	0.0239251351432175	13.53403	0.0026372122221472
BMT109D14	0.264843713585196	48.887369463515	0	0	0	0	0	33.5286205443473	0	0	0	0	0	0	12.19001	5.12915718906485
BMT109d29	0.689839003281936	20.866999909785	0	0	0	0	0	66.7399807015104	0	0	0	0	0	0	11.58744	0.115749724203359
BMT109D-6	1.26872052478065	5.05680079314905	0	0	0	0	0	78.5233954602173	0	0	0	0	0	0	15.15107	0
BMT110D15	2.61987182716431	35.0996615240949	0	0	0	0	0	40.4204272943293	0	0	0	0	0	0.233152149940203	21.6269	0
BMT110D24	1.0302350754366	57.4744676479552	0	0	0	0	0	21.6932278676496	0	0	0	0	0	0.0047159156145913	19.79735	0
BMT110D4	12.2223529721793	0.357435822604546	0	0	0.0162367978616502	0	0	63.642684505283	0	0	1.77757435657502	0	0	0.0073186527603209	21.97598	0.0004135272881631
BMT110D-9	0.414480153809321	33.7480515096689	0	0	0.0051082981266265	0	0	40.6642075564566	0	0	1.29227000566668	0	0	0.0055117851619636	23.87037	0
BMT111D21	5.14718711096753	3.57389260700687	0	0	0	0	0	69.4988015625403	0	0	0	0	0	0.0102025599699402	12.12265	9.64726301515946
BMT111D3	5.21651554692268	3.68060724051455	0	0.0754331915984755	0.015042545177124	0	0	75.0308755903166	0	0	0.0010429724108152	0	0.167706571878895	0.0019926708661917	15.2055	0.605305573545096
BMT111D6	4.30363771615101	25.303239864974	0	0	0	0	0	55.3782110795225	0	0	0	0	0	0.0712999895241267	14.79447	0.149143763937657
BMT111D-8	2.63278532648862	34.9095936908366	0.0007008716261949	0.0894260278607951	0	0	0	48.473787243726	0	0	0.124694580309813	0	0.270770071586634	0.0256034461964289	13.47264	0
BMT112D15	4.51762045354081	32.0437050751643	0	0	0	0	0	48.8413624954562	0	0	0.330296608748583	0	0	0.076172789043468	14.19084	0
BMT112D19	3.20502738916569	14.1399569894626	0	0	0	0	0	64.8457184213549	0	0	0.0037459413150604	0	0	0.133940042318061	17.67162	0
BMT112D-6	8.19536793705334	4.98549502167163	0	0	0	0	0	69.656552157824	0	0	0.1267910218094	0	0	0.0357730625817303	16.99985	0.0001660002904024
BMT112D7	9.31838511306512	45.3281534005789	0	0	0	0	0	29.2386489095331	0	0	0	0	0	0	16.11482	0
BMT113D-12	41.0031085472933	13.2434966061106	0	0	0	0	0	31.1581663990744	0	0	0.058435003075498	0	0.0698123349581525	0	14.45615	0.0108384056355813
BMT114D25	9.98429761348601	0.0053868152858254	0	0	0.0223933577850544	0	0	83.9986601859639	0	0	0	0	0	0	5.98926	0
BMT114D28	20.0857108396603	0.268982671692203	0	0	0.0566967531742675	0	0	69.7695436853182	0	0	0	0	0	0	9.81907	0
BMT114D-36	0.0154810225953166	0	0	0	0	0	0	85.2794093097279	0	0	0	0	0	0	14.70511	0
BMT115D18	3.19616022781733	3.74646500199154	0	0	0	0	0	77.8226701560006	0	0	0	0	0	0	15.2347	0
BMT115D4	0.549289420967165	61.9417519681287	0	0	0	0	0	21.9903543751624	0	0	0.0064479119401521	0	0	0	15.49264	0.019521201286699
BMT115pre	2.37618284186554	11.6513295360099	0	0	0	0	0	58.0515028435262	0	0	6.75792234252116	0	0	0	21.16182	0.001245643294674
BMT116D1	18.6886819052162	2.01588344930204	0	0	0	0	0	62.6523349403639	0	0	4.61742756967723	0	0	0	12.01012	0.0155566115753806
BMT116D-3	2.31122543054354	40.2628227591306	0	0	0	0	0	41.5780571529372	0	0	0.17034014606536	0	0	0.008542728252102	15.66902	0
BMT118D10	2.72899324799376	15.3457781378094	0	0	0	0	0	26.2244123999366	0	0	0	0	0	0.225211496871664	6.41922	49.056371920295
BMT118D4	1.98645943888682	27.8932384766074	0	0	0.0029462278092554	0	0	54.4387163764951	0	0	0	0	0	0.0380410002430331	13.34624	2.29435757570583
BMT118D-9	2.18465837338045	47.0002394852984	0	0	0	0	0	25.0388354887923	0	0	4.25401248688614	0	2.09192451501189	0.0233286637440737	19.3338	0.0731965058138744
BMT119D1	3.40551396349171	12.3337675782513	0	0	0	0	0	63.1958756188417	0	0.0265800304071714	0.436571649190124	0.01443282810515	0.896478938602454	0.0163845984538892	14.39604	5.27835745865466
BMT119D-7	3.45818417412728	12.5004277578812	0	0	0	0	0	69.7542566188486	0	0.1403140103946	0.506285380153736	0.0757631788329928	1.22224342838796	0.0009402759578851	11.29472	1.04685535065866
BMT119D9	0.0808406872254236	64.0980275674531	0	0	0	0	0	17.4148115088178	0	0	3.34423122502831	0	0.058392438518976	0	10.02706	4.97663728016135
BMT120D0	5.56229507978142	9.89710046659508	0	0	0.0036084202299589	0	0	69.0619783046847	0.165834862117689	0	0.0138746298982926	0	0	0	15.2953	0
BMT120D23	27.1249030102797	26.2895767992033	0	0	0	0	0	30.3703701210735	0.0260232761306763	0	0	0	0	0	16.18913	0
BMT120D-5	2.5228995599515	5.30882386953047	0	0	0	0	0	74.66073755321	0.0777310091477134	0	0.043272932927593	0	0	0	17.38654	0
BMT120D6	0.57808096306847	65.1006487386635	0	0	0	0	0	23.0068109059897	1.66032016257569	0	0	0	0	0	9.64096	0.0131653114166368
BMT121D0	1.92456516433329	6.66731592291433	0	0	0	0	0	81.3778572749084	0	0	0	0	0	0.0258647389177224	10.00439	0
BMT121D15	19.1991443058289	46.1204941639184	0	0	0.0741897417868433	0	0	21.1106819154908	0	0	0	0	0.141325775226978	0.115653053212328	13.23852	0
BMT121D22	17.4470867978537	25.0158894402182	0	0	0.0249731620516241	0	0	41.0192728825791	0	0	0	0	0.125644651328141	0.113484681073628	16.25365	0
BMT121D26	28.9423447831116	3.10392966641132	0	0	0.0306371567745378	0	0	54.8761625607767	0	0	0	0	0.0334405567408353	0.0755960307682045	12.93789	0
BMT121D-6	8.2800293495097	9.5631975445987	0	0	0	0	0	64.9588345876473	0	0	0.150104557445061	0	0.0038596891844698	0.0480427548380896	16.99593	0
BMT123D0	2.05757596152006	26.2784087946182	0	0	0.001492506179915	0	0	50.4361051453613	0	0	1.03855868982157	6.96084056644741	0	0	13.22638	0.0006334473903127
BMT123D-8	8.40438877648548	8.87991035263025	0	0	0	0	0	68.9497642641108	0	0	0	0	0	0.0042857441234731	10.89929	2.86236029036536
BMT124D0	1.15529775844059	24.8393515658721	0.0114017953020615	0.551839002104001	0	0	0	47.1483330788434	0	0	1.82094166963915	0	3.37799292953286	0	21.09484	0
BMT124D-13	4.32922794591771	8.61667697988047	0	0.776636718298876	0	0	0	60.9875560533487	0	0	0.891377741086039	0	0.846670865127659	0	23.55185	0
BMT124D17	2.4940907146576	5.7823057960397	0	0	0	0	0	70.7204039695283	0	0	0	0	1.4624024815119	0	19.54079	0
BMT124D7	3.32495505458426	1.04126828361471	0	0	0	0	0	75.2260455424902	0	0	0.0465775357798231	0	0.077980092859252	0.0255733876469599	20.2576	0
BMT125D0	10.8973801848463	3.53988288435217	0	0	0	0	0	70.4004434431654	0	0	0.101610966013053	0	0.204788583420978	0	14.8559	0
BMT125D-14	7.98055357366145	13.4474378631579	0	0	0	0	0	62.3455670215425	0	0	1.64645699128925	0	0.525373005777151	0.0108390792082097	14.04378	0
BMT125D21	8.66289305454015	2.12283225873076	0	0	0	0	0	68.6849245928321	0	0	0	0	1.26536739908575	0	19.26399	0
