	ARO Accession	BMT101D-7	BMT101D1	BMT102D14	BMT133D1	BMT104D29	BMT102D10	BMT101D30	BMT102D3	BMT103D-8	BMT103D-1	BMT103D14	BMT101D14	BMT103D8	BMT104D0	BMT103D24	BMT102D-9	BMT104D14	BMT104D24	BMT104D7	BMT104D-53	BMT105D-8	BMT106D14	BMT102D28	BMT105D7	BMT106D0	BMT109d29	BMT108D-33	BMT109D-6	BMT106PRE	BMT105D-1	BMT103D27	BMT110D-9	BMT108PRE	BMT108D0	BMT110D15	BMT109D14	BMT111D6	BMT109D0	BMT110D4	BMT112D7	BMT111D21	BMT113D-12	BMT110D24	BMT111D-8	BMT112D19	BMT114D-36	BMT114D28	BMT111D3	BMT114D25	BMT118D10	BMT116D-3	BMT120D-5	BMT129D23	BMT118D-9	BMT123D-8	BMT115D18	BMT118D4	BMT119D-7	BMT115pre	BMT116D1	BMT119D9	BMT120D23	BMT112D15	BMT121D0	BMT121D-6	BMT121D22	BMT120D6	BMT121D26	BMT124D17	BMT124D7	BMT120D0	BMT131D0	BMT125D7	BMT124D0	BMT125D-14	BMT125D0	BMT119D1	BMT123D0	BMT126D8	BMT124D-13	BMT127D1	BMT121D15	BMT126d1	BMT138D5	BMT130D20	BMT130D-4	BMT126D21	BMT129D28	BMT129D-6	BMT127D-13	BMT127D21	BMT129D15	BMT130D25	BMT131D-6	BMT131D22	BMT127D6	BMT130D0	BMT128D-14	BMT130D7	BMT129D0	BMT133D-6	BMT131D14	BMT132D3	BMT140D13	BMT131D7	BMT134D2	BMT133D26	BMT133D15	BMT146D52	BMT140D62	BMT141pre	BMT134D8	BMT146D2	BMT146D42	BMT149D12	BMT146pre	BMT134pre	BMT134D15	BMT142D8	BMT149D17	BMT126D-12	BMT140D14	BMT151D1	BMT151pre	BMT140pre	BMT152PRE	BMT149pre	BMT149D24	BMT142pre	BMT138pre	BMT115D4	BMT142D1	BMT131D267	BMT132PRE	BMT134D186	BMT141D163	BMT153pre	BMT126D2	BMT141D14	BMT140D87	BMT144D207	BMT146D57	BMT149D28	BMT148D67	BMT146D69	BMT146D142	BMT144PRE	BMT148PRE	BMT151D15	BMT164D7	BMT153D99	BMT165D1	BMT165D22	BMT165D8	BMT164D9	BMT151D43	BMT165D29	BMT165PRE	BMT153D183	BMT151D114	BMT153D1	BMT153D73	BMT170D27	BMT164D183	BMT169D7	BMT168D18	BMT140D75	BMT168D11	BMT170D2	BMT169PRE	BMT153D142	BMT164D26	BMT168PRE	BMT170PRE	BMT166D5	BMT171D0	BMT170D135	BMT173D2	BMT170D55	BMT171D23	BMT166PRE	BMT173PRE	BMT173D37	BMT181D3	BMT174D7	BMT173D69	BMT180D-6	BMT180D0	BMT185PRE	BMT185D0	BMT183D5	BMT183D7	BMT184PRE	BMT171PRE	BMT181PRE	BMT182D-13	BMT182D-12	BMT101D7	BMT112D-6	BMT125D21
0	ARO_3000005	0.0	0.0	0.0	0.0	12.776412321843233	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4371376261787003	0.0	0.0	1.3550379173633844	13.482762517921955	0.4459446172720376	3.0068877508485543	0.0	0.0	0.0	0.0	1.6925796839148846	1.6965106367376024	0.0	1.4248167001469638	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.48807680801863496	0.0	6.418607427314029	0.6064323954283866	0.0	0.7240132359671066	0.0	0.0	0.0	0.0	0.0	0.0	0.24970100380879387	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5379601877473954	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.000164431739234	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6293828589045595	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3637231695751004	1.1808897285715307	0.0	0.3730423841484102	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0945457689786027	0.0	0.0	0.4377197500875855	0.5186761936224704	1.4508781433895557	0.16431567729775823	0.0	0.0	1.7636036564235975	0.0	0.0	0.0	0.0	1.4629626554021566	0.0	0.0	0.2764596625080368	0.0	0.0	0.0	0.12789381851656179	0.0	0.0	9.986279574072963	0.0	0.0	0.4167077424261171	0.0	0.0	0.0	0.0	0.5913468690460758	0.0	0.1932060155666705	0.0	0.0	22.225252526456888	0.8867563455719789	0.20497905795070664	0.92809963906811	13.936666373156884	0.0	0.0	0.0	0.0	13.5445861459168	0.0	0.0	0.0	0.0	0.5046636364608673	0.2298919348001969	0.0	0.0	0.0	0.0	0.23597572608374393	0.0	0.0	0.0	2.9165594981298106	0.0	0.0	0.0	4.173779298668722	0.0	0.36820880811901135	0.0	0.0	0.2123778982015018	0.6148432846548993	4.379823083551365	1.1616399393296835	0.0	5.15448864652613	18.11619804958889	0.0	0.0	0.0	0.0	0.22753222348152283
1	ARO_3000013	0.0	0.0	0.4071702950359154	0.0	30.789661055236284	1.7179535840563744	0.0	3.436535390800583	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.639391142295921	0.0	17.3724232449137	0.0	0.0	0.0	0.0	2.619742014334437	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0480059101235433	0.0	0.0	10.580422305139672	0.0	0.0	0.0	7.754555353786891	0.0	0.0	0.0	0.4988561196297736	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6307249198808709	0.0	0.0	1.550070000067036	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.20912199340795656	0.0	0.0	0.21285376336800868	0.19796335285426706	0.0	0.1412571544280249	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3380910028021987	0.0	0.0	0.0	0.738652168445869	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.54607566657239	0.0	0.0	0.14705787073858376	0.0	0.0	0.0
2	ARO_3000024	0.47128729835763383	0.482227149378967	132.326262172799	0.30301251852633104	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5992993331952903	0.0	0.5833337385315315	0.3156634447065306	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6322770517946448	0.0	0.0	0.37106841647121935	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.500849304654758	0.0	0.1520303456818143	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3874771546237328	0.29679284903495745	0.0	0.0	0.0	0.3988240331987762	0.23266345150119105	0.0	0.0	0.2354670178925671	0.0	0.0	0.7282823513276656	0.0	0.6778432300159077	0.0	0.0	0.31417625150508666	0.0	0.18746996206877609	0.0	0.0	0.0	0.0	0.4494719623698754	0.0	1.1012534349312897	0.6438756257819158	0.15395044732504443	0.0	0.0	0.0	0.1320052238588944	0.0	0.3721808451864293	0.0	0.0	0.1360240357043887	0.4356115630483696	0.09734001022532472	1.1590543987904742	0.19142300970138992	0.3901425370894826	0.0	0.3392477337117877	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14931262180130464	0.0	0.0	0.0	0.0	0.0	0.41295999697392355	0.18504482102963468	0.0	10.72421776549981	0.10010970352058846	0.0	0.35088418998255616	0.0	0.6002611645001291	0.9395683647495342	0.931337125338123	0.37727029665277817	0.0	0.11155640336934698	0.0	0.0	0.0	0.12220260074708533	0.3225093018382781	0.0	0.0	2.357513347943208	0.0	0.0	0.0	0.0	0.24320567599866189	0.1468833775990138	1.062468873511661	0.4406582479758995	0.0	0.23582444409599024	0.0	0.0	0.0	4.329740650301338	0.0	0.39304673650962924	0.0	0.15477589242786796	0.31085221103022015	0.15600176091823692	0.0	0.0	0.4032671902623342	0.47884204502624517	0.892899792375172	0.0	2.243411713930144	0.0	0.0	0.0	0.5027154301276492	1.0095824757720309	0.0	0.10911544979786185	0.0	0.6799122302705634	0.11527243302696048	0.26682261619380604	0.2060539864826294	0.0	2.866764693354653	0.28698924604820736	0.06862989536363764	0.7043420601442129	0.0	0.32031979149446876	0.0	0.07912368349376778	0.0	0.2670507752919077	0.30171444181074714	0.0	0.0	0.0	0.9230366317561771	1.1934411205019244	0.0	0.14258967580155327	0.2281493691753564	0.741259075258865	0.32457306789076784	0.9524136434226574
3	ARO_3000025	0.15069458040297856	0.17042340950708734	115.07872252591763	0.49189573008780135	0.0	0.0	0.0	0.0	0.0	1.618928602109765	0.0	0.0	0.0	0.3357387731106777	0.3853832146363107	0.0	0.2808184171807353	0.0	0.0	0.0	0.0	0.0	0.2825163525487996	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8550930507635122	0.0	0.20983073341296246	0.3559484809953123	0.0	0.0	0.0	0.0	0.2361208194989983	0.0	0.19516302978139063	0.0	0.0	0.0	0.0	0.5490756383797007	0.0	0.333338424681931	0.0	0.241228761396352	0.0	0.0	0.0	0.221035556421963	0.0	0.0	0.0	0.0	0.0	0.0	0.2567327462558727	0.0	0.0	0.0	0.30687677230048865	0.0	0.0	0.0	0.0	0.0	0.6780597443575515	0.0	0.0	0.0	0.0	0.0	0.0	0.2697466771702678	0.0	0.0	0.0	0.0	0.3648254206776512	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3798792095769542	0.0	0.0	0.0	0.0	0.0	0.12717529577443729	0.1556228233653324	0.9225793330689628	0.15301924233345401	0.3742453878702167	0.0	0.0	0.0	0.0	0.0	0.0	0.3982997573432638	0.0	0.0	0.0	0.21686897132017727	0.0	0.0	0.0	0.0	0.3772696229125504	0.0	0.0	10.658618179038214	0.05909571110265898	0.0	0.0	0.0	0.6443501990177432	1.0300385662546434	0.23510208016086115	0.4454124959829065	0.0	0.0802581085360964	0.0	0.0	0.0	0.3349234509924968	0.5568624108141406	0.0	0.0	1.6325988089517098	0.0	0.0	0.0	0.0	0.2021896649926623	0.12524294788672746	0.08263592624247536	0.11528256371649169	0.0	0.3187579208474509	0.0	0.0	0.0	0.0	0.2068736737137185	0.18851562489638415	0.0	0.0	0.0	0.0	0.0	0.33187132994365004	0.6054812615291857	0.4434916663143375	1.4560785238987313	0.0	2.5505177506041	0.0	0.0	0.0	0.16773261564752154	1.4316143322935495	0.0	0.0	0.0	0.33662339458052976	0.27218565876027756	0.0	0.3023003157325303	0.0	3.487744697120365	0.7226501282601826	0.2304170086274931	0.2921696060066849	0.0	0.3482367399325832	0.0	0.0	0.0	0.22770599968296978	0.47547649421909516	0.0	0.7361137109558548	0.1420001284070241	0.5004579656196295	1.2826133780279516	0.0	0.0	0.31400642122053	0.0	0.0	0.0
4	ARO_3000026	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.44587510682908	1.3829984612199007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.196344698113561	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.624410348336023	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4819515560256611	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17854780159591166	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3470904724637162	0.0	0.0	0.0	0.0	0.0	0.1965140717113518	0.0	0.0	0.0	0.1592273235032305	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14315562350075928	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.174802725204552	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17406025596897248	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5	ARO_3000027	2.4970593003347776	0.0	0.0	0.0	0.0	0.0	3.311906247051808	0.0	0.0	8.276949703478028	0.0	6.694809047247997	0.0	0.0	0.0	8.466287178391585	0.0	0.0	0.0	0.0	1.3477702997113334	0.0	0.0	0.0	0.0	0.0	2.442438797378335	0.30085132164739986	0.0	0.5172588420758724	0.0	10.653649368581004	2.015059271416873	43.70018646408816	0.0	0.0	0.0	1.1233401443067537	18.718236409957516	0.0	0.0	0.0	0.0	2.2012744298496885	0.0	0.0	0.0	0.18830210882767648	0.0	0.0	0.7328916164779373	0.0	0.0	0.0	0.0	0.0	0.0	1.6565321382298315	41.913221190318716	31.307470737715654	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27857046460818263	0.0	0.0	0.0	14.44300913949247	0.36319096081917945	2.6533762362948483	0.677241231258686	4.393253884404301	0.0	96.75288298410844	0.0	6.944576148872351	0.0	0.0	0.0	0.0	0.0	0.0	1.3674204395881266	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3282009722431025	0.0	0.0	2.931556966672378	0.0	0.29413038805190794	0.0	0.0	0.0	0.0	0.0	0.0	1.2277345331717735	7.695391774081732	0.0	1.4666643165242255	0.0	0.0	0.0	1.3355441139498891	0.0	0.0	0.0	6.264882184021559	0.16848292170890442	0.0	0.0	0.0	0.0	0.0	0.0	1.8100060797886406	0.826152200783543	0.21452723278328492	70.35329393634328	2.1183649362323638	0.0	16.559601654234996	0.5749023997842085	0.0	29.111261080972742	0.0	0.0	0.0	0.0	0.0	0.518829321840222	0.0	0.0	0.0	0.13940563801768313	0.0	0.0	0.20232498730647208	3.0405569306081537	0.0	0.0	0.0	9.425382488277272	0.18913070317089717	15.779717760399667	1.0535971482202122	8.55141598256336	0.0	0.548774351804926	0.0	0.17667037431597216	0.0	0.0	4.682228016537629	0.0	0.0	0.0	2.7580618078796	0.9066210167028227	0.19408068759974667	2.852366711431247	0.20500940282583568	0.0	0.0	0.0	0.0	0.0	0.0991710764206017	0.0	0.0	1.4194563309362733	0.18980642160987504	3.3919304556556797	1.1569887602643465	0.19294589263417883	30.767817995541698	19.392566045212483	8.205691101207643	3.9691840382211176	26.009094860290748	3.097780648342709	0.6658401104815078	0.0	1.1323748574604728	6.037271659222982	0.0	0.0
6	ARO_3000074	0.0	0.0	0.0	0.0	0.0	0.0	9.004130715593556	0.3642730782004422	0.0	8.927728043172088	0.0	0.0	0.0	0.0	0.0	7.917341512282665	0.0	0.0	0.0	0.3979568275976849	0.0	0.0	0.0	0.0	0.0	0.0	1.7856028077901764	0.0	0.0	0.0	0.0	7.872722301332838	2.9211158119110094	60.57244984133191	0.0	0.0	0.0	0.0	18.434914351995864	0.0	0.0	0.0	0.0	1.3928693696397088	0.0	0.0	0.0	0.0	0.0	0.0	1.375009732399453	0.0	0.0	0.0	0.0	0.0	0.0	1.0822123075152281	41.638957555980326	32.85115000063835	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.258788749662218	0.0	2.5149847681800046	1.4195002610348968	3.9809521932385263	0.0	90.7944287306531	0.0	6.549660414320662	0.0	0.0	0.0	0.0	0.0	0.0	0.9832310711665702	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.2773524898917263	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.824576412643451	0.0	1.541885454758277	0.0	0.0	0.0	9.33462857728627	0.0	0.0	0.0	6.123519471757931	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6601440110024928	0.0	0.0	69.85913130574704	0.9401364952519382	0.0	21.548818393781765	0.6404183427795599	0.0	27.76985628395227	0.0	0.0	0.0	0.0	0.0	0.4853164230610689	0.2688218094431143	0.0	0.0	0.07083509352165576	0.0	0.0	0.0	3.2756427256816023	0.12955725020455097	0.4545321178057262	0.0	0.0	0.0	15.789780571224316	1.2447028297833522	9.78664615865017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.2422917050155657	3.0945290453150927	0.5283037374791211	3.0194806805545205	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14466727261103535	0.10166802086349952	1.0352004697102049	0.0	71.49145123707787	39.04410665798387	7.585379156692322	4.764308834989579	25.459194968957565	10.186706250288111	0.15859130311785427	0.0	1.2673031321088954	0.0	0.0	0.0
7	ARO_3000090	0.0	0.0	0.4505142296687709	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8	ARO_3000118	0.4356556572693705	0.2074490068709366	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28634603864042696	0.8478055666429409	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23891942580985615	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1573570245907149	0.11912626109978594	0.0	0.0	0.0	0.0	0.2754478078412693	0.23720430391856412	0.0	0.0	0.0	0.0	0.11375658984139735	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3644420196098092	0.0	0.0	0.0	0.0	0.0	0.0	0.27994618858126213	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10615427424635242
9	ARO_3000124	0.0	0.0	0.0	0.0	0.0	0.0	0.8612938760207894	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2306719780303257	0.0	0.0	0.0	0.0	0.0	0.0	1.2524891629663448	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.344395116905264	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0477155229108073	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7408730253834064	0.0	0.0	0.0	0.0	0.0	2.522154679214164	0.0	0.0	0.0	0.0	0.7268414010839066	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7937250258389245	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.113559198875212	0.28070462773763016	0.0	0.0	0.0	0.0	0.0	16.974370187614177	0.0	0.0	0.0	0.0	0.0	1.2682942375462245	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.570082598607032	0.6692793282429657	0.0	0.0	2.730689751294234	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0532927074965515	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3672429848663537	0.0	0.0	0.0	0.0	0.0	0.7106493944297834	1.0619735455975472	0.0	0.0	0.6071649624826421	0.42688121557192327	0.0	0.0	5.588110146747349	0.0	0.0	0.0	0.0	1.1363755412881007	0.0	0.0	0.0	0.0	0.0	0.40678104567205026	0.0	0.5545880545109391	0.0
