	ARO_Acc	BMT108D-33	BMT109D14	BMT106PRE	BMT110D-9	BMT114D28	BMT110D15	BMT121D26	BMT110D4	BMT111D6	BMT112D7	BMT111D-8	BMT113D-12	BMT170D135	BMT120D-5	BMT102D14	BMT116D-3	BMT104D29	BMT102D10	BMT103D8	BMT102D28	BMT104D0	BMT119D9	BMT104D14	BMT173D69	BMT103D24	BMT110D24	BMT102D3	BMT103D-1	BMT114D-36	BMT103D-8	BMT101D30	BMT165D29	BMT101D1	BMT101D14	BMT115D4	BMT104D-53	BMT103D14	BMT104D24	BMT106D0	BMT101D7	BMT146D69	BMT101D-7	BMT104D7	BMT105D-8	BMT109d29	BMT105D7	BMT102D-9	BMT169D7	BMT106D14	BMT105D-1	BMT112D-6	BMT103D27	BMT109D-6	BMT112D19	BMT118D-9	BMT171D23	BMT108D0	BMT108PRE	BMT112D15	BMT165PRE	BMT114D25	BMT111D21	BMT123D-8	BMT134pre	BMT109D0	BMT118D10	BMT120D23	BMT119D-7	BMT125D21	BMT111D3	BMT116D1	BMT185PRE	BMT118D4	BMT173D2	BMT115pre	BMT115D18	BMT121D0	BMT121D-6	BMT120D0	BMT124D17	BMT121D22	BMT124D0	BMT125D7	BMT124D7	BMT125D-14	BMT126D8	BMT120D6	BMT119D1	BMT125D0	BMT127D1	BMT126d1	BMT123D0	BMT130D-4	BMT124D-13	BMT121D15	BMT129D23	BMT131D14	BMT130D20	BMT129D15	BMT129D28	BMT133D-6	BMT131D-6	BMT132D3	BMT131D22	BMT129D-6	BMT127D6	BMT126D21	BMT131D7	BMT130D7	BMT133D15	BMT127D-13	BMT130D25	BMT134D2	BMT133D26	BMT146D52	BMT127D21	BMT140D13	BMT130D0	BMT128D-14	BMT129D0	BMT133D1	BMT131D0	BMT149D17	BMT146D2	BMT146pre	BMT146D42	BMT134D8	BMT138D5	BMT134D15	BMT149D12	BMT152PRE	BMT142D8	BMT151pre	BMT126D-12	BMT140D62	BMT151D1	BMT149D24	BMT141pre	BMT142pre	BMT149pre	BMT140D14	BMT140D75	BMT138pre	BMT151D15	BMT140pre	BMT153pre	BMT142D1	BMT134D186	BMT144D207	BMT126D2	BMT131D267	BMT132PRE	BMT148D67	BMT146D57	BMT153D183	BMT151D43	BMT144PRE	BMT153D73	BMT141D14	BMT141D163	BMT149D28	BMT151D114	BMT153D99	BMT164D26	BMT165D8	BMT165D22	BMT153D1	BMT140D87	BMT164D7	BMT146D142	BMT174PRE	BMT168D18	BMT170D27	BMT164D9	BMT164D183	BMT170D55	BMT165D1	BMT153D142	BMT170PRE	BMT168D11	BMT169PRE	BMT148PRE	BMT170D2	BMT168PRE	BMT166PRE	BMT173PRE	BMT174D61	BMT181D3	BMT174D7	BMT171D0	BMT185D0	BMT181PRE	BMT183D7	BMT180D-6	BMT183D5	BMT180D0	BMT184PRE	BMT173D37	BMT182D-13	BMT182D-12	BMT166D5	BMT171PRE
0	ARO_3000005	0.0	2.0051563131975763	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	71.4291925768301	0.0	0.0	0.0	17.65626226448117	0.0	3.9397073692604963	2.170139862814508	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.943775463338866	0.0	0.0	0.0	19.0933387284098	0.0	73.76800711870034	0.0	0.0	0.0	0.0	1.2601720838574564	0.0	8.667321668877255	0.0	0.0	26.596802543746172	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.561781997100429	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.078478571763654	0.0	0.0	16.32867393397977	0.9347661410546638	0.0	0.0	2.1487646170975476	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3327294611756666	0.0	2.255975934627582	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.6828419047304766	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.061854282287962	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.283314721847694	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5268784995702145	5.221850628562428	1.3428658308000474	0.0	1.0438086612012747	335.0963102950916	0.0	0.0	0.0	0.0	0.0	257.8054578374025	0.0	0.0	0.0	4.83952932196127	0.0	1.1700923821727987	0.0	3.29618592373853	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7163021735831514	0.0	16.452789290397718	0.0	0.0	12.320743102210818	58.83878945050176	0.0	0.0	7.892675529484208	0.4177289259134216	0.0	0.0	0.0	0.0	0.0	19.34958198701755
1	ARO_3000010	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2	ARO_3000013	0.0	0.0	0.0	1.0231480849308596	0.0	20.068671985232665	0.0	2.7939206789379236	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.684145161309004	2.6730457227731996	0.0	2.6624341064198873	0.0	0.0	0.0	0.0	0.0	0.7777620410591469	2.211504013216886	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.422645834440349	0.0	0.0	0.296783905834256	0.0	0.0	0.0	0.0	0.0	3.521615198671393	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.42226282296155515	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8088347008463387	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4719002877561125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28292262512089	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4141614784326934	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	ARO_3000024	0.0	0.0	0.0	0.0	0.0	0.0	1.3858215115552126	0.0	0.0	0.0	0.0	0.0	0.6848264844863861	5.771662370587498	325.49653093568696	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.105474253672664	0.0	0.0	0.0	2.756297309707191	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7655685214503029	11.736366836764178	0.0	0.0	0.0	13.66951384778618	0.0	0.0	0.0	0.6333942344423327	4.4925783279908345	0.0	0.0	0.0	0.0	0.0	0.0	2.1738111641950324	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2176332830219438	0.0	0.0	1.3797768426202248	0.0	0.0	0.0	1.1345942881437439	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1736087198996443	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1808778577976302	0.0	0.0	0.0	0.0	0.0	1.6309125513496896	0.0	1.393331351737485	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0278875090240995	1.4110060958849757	0.0	24.126073891115652	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8056330819166218	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.615837507158242	0.0	0.0	0.0	0.0	3.633723835098996	0.0	0.0	0.6073925184620905	0.0	7.122968136833757	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8252712136120366	0.0	0.0	0.0	0.0	0.0	0.0	1.1103570306397028	0.0	1.1430399456432383	0.0	0.0	1.6167007149765145	0.0	0.0	0.840813971153287	0.0	0.0	1.463163551712176	0.0	0.0	1.281925728930595	0.0	3.321510668543463	0.33646669422786485	0.0	0.0	0.9693972720113817	1.6689559067256858	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.095606778332331	1.214710474244348	0.0	0.4315883937207729	0.38212764896465334	0.0	5.402998662528744
4	ARO_3000025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.053746724657360134	0.0	0.0	0.0	0.1071157170729488	0.3032805611060528	41.947430755567495	0.0	0.0	0.0	0.0	0.0	0.15378743573376388	0.0	0.0	0.02322090233429191	0.0	0.0	0.0	0.0	0.37377362326006697	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0759875529092704	0.0	0.0	0.0	0.0	0.0	0.0	0.9076381859737197	0.0	0.0	0.0	0.2725094383670624	0.0	0.0	0.0	0.2821471533090201	0.045983401514747536	0.0	0.0	0.0	0.0	0.0	0.0	0.03430606338444198	0.0	0.14623686749943526	0.0	0.0	0.0	0.037749243514982316	0.0	0.152362871702433	0.0	0.027360957848052102	0.0	0.0	0.0	0.050086942477966724	0.07377975456329974	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.059436337667103975	0.04110970628578134	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06869848331255694	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0372950950393732	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.055350051423380404	0.12312955750502595	0.0	3.2404678359321553	0.0	0.0	0.0	0.07171066887285325	0.0	0.0	0.0	0.3110606621841596	0.0	0.0	0.0	0.0	0.0	0.25220591942735965	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14877067902145327	0.0	0.0	0.1140048522660858	0.0	0.5539429803634713	0.03267577092369247	0.0	0.0	0.0	0.0	0.0	0.0	0.028805570133852643	0.0	0.0	0.05720699706046792	0.0321835596295719	0.0	0.0	0.13893935732717866	0.10356773741159568	0.0	0.0	0.0	0.04702640766605278	0.0	0.0	0.26302835385400014	0.0	0.0	0.6963833162960273	0.0	0.0	0.03869259589819656	0.0	0.30917032609754247	0.07535960799794568	0.11567841844654349	0.0	0.03897074460347263	0.20149759073707282	0.0	0.0	0.0	0.0	0.0	0.0	0.05792511644278497	0.0	0.06756248323597525	0.0752762363001037	0.10600008293842225	0.0	0.0	0.01727308049562846	0.06245481755524237	0.5621832597180256
5	ARO_3000026	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1372093588041583	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0968887377824714	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8171995392308853	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.5542294760492723	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6615070266085394	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6	ARO_3000027	1.9170161989459935	0.0	0.0	7.386288229569357	0.0	0.0	0.0	5.587841357875847	0.0	0.0	3.194673561662462	0.0	0.1222904436582832	0.0	0.0	0.9184635321886971	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6355444331943458	0.0	0.0	0.0	4.228598433005106	0.0	0.0	1.4303630441059536	0.0	0.0	0.0	0.0	0.26173314430463124	0.29579581451087694	0.0	0.0	0.0	0.0	0.0	0.0	1.300110659178778	0.0	0.0	5.259555166846886	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.73091833239218	1.2196411379628442	0.0	9.286283393231118	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.41307657273460724	0.0	0.0	12.249932121288627	0.0	0.0	0.0	21.804360808730877	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.886849479928726	0.8179820327628959	0.0	1.1240196190588143	0.0	44.86437051225403	4.246683256504675	0.0	0.0	0.5347849141441164	0.0	0.0	0.0	0.0	0.0	0.0	1.2096797567683042	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16974415363366813	0.0	0.0	0.0	0.0	0.4063290607659227	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.7262104510341354	0.0	0.0	0.0	2.703898439671061	1.8693701356742907	0.0	0.0	0.0	0.3151468395184052	0.0	0.0	0.0	37.677758632152766	12.798628067594048	0.0	14.377843091016286	1.3425358514513692	0.0	0.0	0.0	0.40125631651373667	0.0	0.0	0.0	0.0	0.32020917138977995	0.0	6.062578045220606	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.9903244682131636	0.0	0.0	0.0	0.0	0.0	1.446131427086628	1.1613561797179177	1.7916070428427593	0.0	0.0	0.0	0.0	0.0	0.3029366475035568	0.0	0.0	0.9049034109718741	0.0	0.0	0.0	0.6026469518478462	1.8699569755063197	1.259283498214548	3.370749963933372	0.0	12.44337558982015	0.0	0.0	0.2212317967690098	0.0	0.4682598840858244
7	ARO_3000074	1.5386577386277052	0.0	0.0	9.208332764377737	0.0	0.0	0.0	17.69483096660685	0.0	0.0	2.564145885018555	0.0	0.0	3.001264432705499	0.0	2.204312477252873	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.911677102723144	0.0	0.0	0.0	7.0432592649741315	0.0	0.0	1.4303630441059538	0.0	1.1626956162124455	1.4470261677578589	0.0	0.0	0.0	0.0	0.0	0.5145102917951582	0.0	1.6782184258743476	0.0	0.7265324271881406	0.0	0.0	7.54631828286727	0.0	0.0	1.2257467106161581	0.0	0.0	1.1763286676413331	0.0	1.6273742841567027	0.0	22.462891639954172	1.3631283306643551	0.0	16.36904191349214	0.0	0.0	0.0	1.428504479328164	3.052535882482985	0.0	0.0	0.0	0.0	0.0	26.051522311273807	0.4348690296506941	0.0	0.0	35.5887268372389	0.0	0.0	1.7605560281005304	0.0	0.0	0.0	0.0	0.0	0.0	5.647216573541555	5.112387704768101	0.0	4.1278651527504735	0.0	81.03337849223614	4.341053995538113	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6532290009166826	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9170864354699098	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.8273576046338524	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.291661563432352	0.0	0.0	0.0	7.03013594314476	2.0563071492417193	0.0	0.0	0.3795089457848701	1.0743642256309267	0.0	1.1355386984684364	0.0	56.797815251454175	14.317109363749275	0.0	24.108507540052717	0.7863424272786591	0.0	0.0	0.0	2.6482916889906614	0.0	0.0	0.0	0.0	0.3325249087509254	0.0	6.981150476314638	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3801209234143486	0.0	0.0	0.8364383863985375	1.4066115220185962	2.266819886523613	0.0	0.0	0.0	0.0	1.5486846704387947	0.0	0.0	0.0	0.9525299062861834	0.0	0.0	0.0	0.3129128403825356	2.78793585439124	0.7375803346685209	4.4712006874527965	0.0	27.209514623073396	0.0	0.0	1.236295334885643	0.3757437961167269	0.7393577117144597
8	ARO_3000090	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34767886219116223	0.0	0.0	0.0	0.2804234757463918	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9	ARO_3000118	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
