Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
BMT109D0_deduped_R2	34.2644110084336	45.0	151.0	151	18.181818181818183	28097602.0
BMT109D14_deduped_R1	18.948710311970686	46.0	151.0	151	27.27272727272727	15896774.0
BMT109D14_deduped_R2	18.893077259166006	45.0	151.0	151	27.27272727272727	15896774.0
BMT109d29_deduped_R1	10.28378922946446	47.0	151.0	151	27.27272727272727	11440031.0
BMT109d29_deduped_R2	9.854453583084023	46.0	151.0	151	27.27272727272727	11440031.0
BMT110D-9_deduped_R1	23.04299205704676	44.0	151.0	151	27.27272727272727	15777970.0
BMT110D-9_deduped_R2	21.88820947531346	44.0	151.0	151	27.27272727272727	15777970.0
BMT110D15_deduped_R1	24.47018810356745	49.0	151.0	151	27.27272727272727	19975158.0
BMT110D15_deduped_R2	25.083449553782714	47.0	151.0	151	27.27272727272727	19975158.0
BMT110D24_deduped_R1	29.56477119428679	45.0	151.0	151	27.27272727272727	21446910.0
BMT110D24_deduped_R2	28.73898432112435	44.0	151.0	151	27.27272727272727	21446910.0
BMT110D4_deduped_R1	34.20330842260742	46.0	151.0	151	27.27272727272727	19194731.0
BMT110D4_deduped_R2	33.99217223390761	45.0	151.0	151	27.27272727272727	19194731.0
BMT111D-8_deduped_R1	19.518922650533412	46.0	151.0	151	27.27272727272727	20905452.0
BMT111D-8_deduped_R2	19.78373231238635	45.0	151.0	151	27.27272727272727	20905452.0
BMT111D21_deduped_R1	20.22313154967	48.0	151.0	151	27.27272727272727	17414439.0
BMT111D21_deduped_R2	19.23161241506223	47.0	151.0	151	27.27272727272727	17414439.0
BMT111D3_deduped_R1	25.74839548672469	45.0	151.0	151	27.27272727272727	27220251.0
BMT111D3_deduped_R2	25.229520226618206	44.0	151.0	151	27.27272727272727	27220251.0
BMT111D6_deduped_R1	24.329450488222392	46.0	151.0	151	18.181818181818183	18851888.0
BMT111D6_deduped_R2	24.54323774197799	45.0	151.0	151	27.27272727272727	18851888.0
BMT112D-6_deduped_R1	25.48248941002049	44.0	151.0	151	27.27272727272727	29107752.0
BMT112D-6_deduped_R2	24.205523913028685	44.0	151.0	151	27.27272727272727	29107752.0
BMT112D15_deduped_R1	28.936134464982388	49.0	151.0	151	18.181818181818183	35656968.0
BMT112D15_deduped_R2	27.824970718817454	48.0	151.0	151	27.27272727272727	35656968.0
BMT112D19_deduped_R1	15.856168118075033	46.0	151.0	151	27.27272727272727	17884220.0
BMT112D19_deduped_R2	14.747004842220719	46.0	151.0	151	27.27272727272727	17884220.0
BMT112D7_deduped_R1	35.260206713311234	49.0	151.0	151	18.181818181818183	16090186.0
BMT112D7_deduped_R2	34.31081202052778	48.0	151.0	151	27.27272727272727	16090186.0
BMT113D-12_deduped_R1	26.15113369886039	51.0	151.0	151	27.27272727272727	15651369.0
BMT113D-12_deduped_R2	22.6968896067754	51.0	151.0	151	27.27272727272727	15651369.0
BMT114D-36_deduped_R1	41.30711432472065	45.0	151.0	151	27.27272727272727	16503654.0
BMT114D-36_deduped_R2	38.08772307220346	44.0	151.0	151	27.27272727272727	16503654.0
BMT114D25_deduped_R1	52.72135401145472	43.0	151.0	151	18.181818181818183	14955571.0
BMT114D25_deduped_R2	47.83658785727556	42.0	151.0	151	9.090909090909092	14955571.0
BMT114D28_deduped_R1	57.69117562410283	46.0	151.0	151	18.181818181818183	13274430.0
BMT114D28_deduped_R2	54.61527536602001	46.0	151.0	151	18.181818181818183	13274430.0
BMT115D18_deduped_R1	26.1075165570241	45.0	151.0	151	18.181818181818183	23135275.0
BMT115D18_deduped_R2	25.05669654682133	45.0	151.0	151	18.181818181818183	23135275.0
BMT115D4_deduped_R1	43.54669834106192	44.0	151.0	151	18.181818181818183	27922525.0
BMT115D4_deduped_R2	42.705288472942456	44.0	151.0	151	27.27272727272727	27922525.0
BMT115pre_deduped_R1	23.463766244214554	44.0	151.0	151	27.27272727272727	21331793.0
BMT115pre_deduped_R2	22.405639728432575	44.0	151.0	151	27.27272727272727	21331793.0
BMT116D-3_deduped_R1	18.45542161842681	44.0	151.0	151	27.27272727272727	15163247.0
BMT116D-3_deduped_R2	17.216516413759436	44.0	151.0	151	27.27272727272727	15163247.0
BMT116D1_deduped_R1	17.627516708216945	48.0	151.0	151	27.27272727272727	15915578.0
BMT116D1_deduped_R2	15.402154422864939	47.0	151.0	151	27.27272727272727	15915578.0
BMT118D-9_deduped_R1	20.384968950721543	47.0	151.0	151	27.27272727272727	20520921.0
BMT118D-9_deduped_R2	20.612875982675632	46.0	151.0	151	27.27272727272727	20520921.0
BMT118D10_deduped_R1	33.12097436518424	53.0	151.0	151	27.27272727272727	14084838.0
BMT118D10_deduped_R2	32.16894571644154	53.0	151.0	151	27.27272727272727	14084838.0
BMT118D4_deduped_R1	14.629112441172182	45.0	151.0	151	27.27272727272727	15845405.0
BMT118D4_deduped_R2	14.306605418923908	45.0	151.0	151	27.27272727272727	15845405.0
BMT119D-7_deduped_R1	10.751755307738378	51.0	151.0	151	18.181818181818183	14419152.0
