Kingdom	Phylum	Class	Order	Family	Genus	Species	Strain
Bacteria	Firmicutes	Clostridia	Eubacteriales	Beduinellaceae	Beduinella	Beduinella_massiliensis	SGB29342
Bacteria	Firmicutes	Clostridia	Christensenellales	Christensenellaceae	Guopingia	Guopingia_tenuis	SGB14127
Bacteria	Firmicutes	Clostridia	Eubacteriales	Maliibacteriaceae	Maliibacterium	Maliibacterium_massiliense	SGB29301
Bacteria	Firmicutes	Clostridia	Eubacteriales	Eubacteriales_Family_XIII_Incertae_Sedis	Hominibacterium	Hominibacterium_faecale	SGB4531
Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Anaerococcus	Anaerococcus_degeneri	SGB6670
Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Gallintestinimicrobium	Gallintestinimicrobium_propionicum	SGB4993
Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Sutterellaceae	Sutterella	Sutterella_wadsworthensis	SGB9286
Bacteria	Firmicutes	CFGB36777	OFGB36777	FGB36777	GGB36777	GGB36777_SGB49178	SGB49178
Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_mutans	SGB8000
Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	GGB35456	GGB35456_SGB66051	SGB66051
Bacteria	Firmicutes	CFGB1306	OFGB1306	FGB1306	GGB5196	GGB5196_SGB7255	SGB7255
Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus	Peptoniphilus_duerdenii	SGB6715
Bacteria	Firmicutes	Clostridia	Eubacteriales	Butyricicoccaceae	Butyricicoccus	Butyricicoccus_faecihominis	SGB109644
Bacteria	Firmicutes	Clostridia	Eubacteriales	Eubacteriales_unclassified	Flintibacter	Flintibacter_hominis	SGB15143
Bacteria	Firmicutes	CFGB1217	OFGB1217	FGB1217	GGB2982	GGB2982_SGB3964	SGB3964
Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_anginosus	SGB8028
Bacteria	Firmicutes	Clostridia	Peptostreptococcales	Peptostreptococcaceae	Peptostreptococcus	Peptostreptococcus_anaerobius	SGB746
Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	Blautia_sp_An249	SGB7262
Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Sneathia	Sneathia_vaginalis	SGB6044
Bacteria	Firmicutes	Clostridia	Eubacteriales	Bianqueaceae	Bianquea	Bianquea_renquensis	SGB4438
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Hoylesella	Hoylesella_timonensis	SGB1507
Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnotalea	Lachnotalea_sp_AF33_28	SGB5200
Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Cuneatibacter	Cuneatibacter_sp_NSJ_177	SGB71449
Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Fannyhessea	Fannyhessea_vaginae	SGB991
Bacteria	Firmicutes	CFGB2919	OFGB2919	FGB2919	GGB9241	GGB9241_SGB14183	SGB14183
Bacteria	Firmicutes	CFGB79330	OFGB79330	FGB79330	GGB75036	GGB75036_SGB102224	SGB102224
Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Anaerotruncus	Anaerotruncus_rubiinfantis	SGB25416
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Hallella	Hallella_colorans	SGB1502
Bacteria	Firmicutes	CFGB1011	OFGB1011	FGB1011	GGB2653	GGB2653_SGB3574	SGB3574
Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	GGB45648	GGB45648_SGB63362	SGB63362
Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Anaerostipes	Anaerostipes_faecalis	SGB25438
Bacteria	Firmicutes	Clostridia	Christensenellales	Christensenellaceae	Luoshenia	Luoshenia_tenuis	SGB7265
Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae_unclassified	Lachnospiraceae_unclassified_SGB4793	SGB4793
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	Porphyromonas_asaccharolytica	SGB1981
Bacteria	Firmicutes	CFGB1192	OFGB1192	FGB1192	GGB2945	GGB2945_SGB3918	SGB3918
Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Hydrogenoanaerobacterium	Hydrogenoanaerobacterium_saccharovorans	SGB15350
Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Amygdalobacter	Amygdalobacter_nucleatus	SGB7884
Bacteria	Firmicutes	Clostridia	Eubacteriales	Butyricicoccaceae	Intestinibacillus	Intestinibacillus_massiliensis	SGB29304
Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Anaerotruncus	Anaerotruncus_massiliensis_ex_Liu_et_al_2021	SGB14965
Bacteria	Firmicutes	Clostridia	Eubacteriales	Eubacteriales_unclassified	Eubacteriales_unclassified	Clostridiales_bacterium	SGB15159
Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus	Peptoniphilus_rachelemmaiella	SGB109696
Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Oscillospiraceae_unclassified	Oscillospiraceae_bacterium	SGB53807
Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces_sp_ICM47	SGB17167
Bacteria	Firmicutes	CFGB49665	OFGB49665	FGB49665	GGB52022	GGB52022_SGB72690	SGB72690
Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Amedibacillus	Amedibacillus_dolichus	SGB4035
Bacteria	Actinomycetota	Actinomycetes	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium_breve	SGB17247
Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	Limosilactobacillus_portuensis	SGB7097
Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	Limosilactobacillus_vaginalis	SGB7098
Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_constellatus	SGB8026
Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	GGB42621	GGB42621_SGB59817	SGB59817
Bacteria	Firmicutes	Clostridia	Christensenellales	Christensenellaceae	Christensenella	Christensenella_hongkongensis	SGB14143
Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Oscillospiraceae_unclassified	Oscillospiraceae_bacterium	SGB53810
Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnoclostridium	Lachnoclostridium_edouardi	SGB29433
Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus_SGB123783	SGB123783
Bacteria	Firmicutes	CFGB49681	OFGB49681	FGB49681	GGB3583	GGB3583_SGB4799	SGB4799
Bacteria	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	bacterium_210917_SL_2_15	SGB79823
Bacteria	Candidatus_Saccharibacteria	Candidatus_Saccharibacteria_unclassified	Candidatus_Saccharibacteria_unclassified	Candidatus_Saccharibacteria_unclassified	GGB12761	GGB12761_SGB19791	SGB19791
Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Enterocloster	Enterocloster_SGB59830	SGB59830
Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	GGB9621	GGB9621_SGB15073	SGB15073
Bacteria	Firmicutes	CFGB93863	OFGB93863	FGB93863	GGB45613	GGB45613_SGB63326	SGB63326
Bacteria	Firmicutes	Clostridia	Eubacteriales	Butyricicoccaceae	GGB45461	GGB45461_SGB63131	SGB63131
Bacteria	Candidatus_Saccharibacteria	Candidatus_Saccharimonadia	Candidatus_Nanosynbacterales	Candidatus_Nanosynbacteraceae	Candidatus_Nanosynbacter	Candidatus_Nanosynbacter_lyticus	SGB19849
Bacteria	Firmicutes	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium_sp_AT4	SGB4753
Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Mediterraneibacter	Mediterraneibacter_hominis	SGB48424
Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	GGB42700	GGB42700_SGB59904	SGB59904
Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	GGB9619	GGB9619_SGB15067	SGB15067
Bacteria	Firmicutes	CFGB3004	OFGB3004	FGB3004	GGB58158	GGB58158_SGB79798	SGB79798
Bacteria	Firmicutes	Clostridia	Eubacteriales	Eubacteriales_unclassified	Intestinimonas	Intestinimonas_butyriciproducens	SGB15126
Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	GGB3537	GGB3537_SGB4727	SGB4727
Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae_unclassified	Lachnospiraceae_bacterium_KGMB03038	SGB4627
Bacteria	Verrucomicrobiota	Verrucomicrobiia	Verrucomicrobiales	Akkermansiaceae	Akkermansia	Akkermansia_massiliensis	SGB9228
Bacteria	Firmicutes	CFGB3038	OFGB3038	FGB3038	GGB9534	GGB9534_SGB14937	SGB14937
Bacteria	Firmicutes	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium_sp_chh4_2	SGB4743
Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	Leuconostoc_carnosum	SGB7129
Bacteria	Firmicutes	CFGB88349	OFGB88349	FGB88349	GGB2970	GGB2970_SGB3952	SGB3952
