SampleID	Acidaminococcales	Actinomycetales	Aeromonadales	Bacillales	Bacteroidales	Bifidobacteriales	Burkholderiales	Campylobacterales	Candidatus_Gastranaerophilales	Candidatus_Nanogingivales	Candidatus_Nanoperiomorbales	Candidatus_Nanosynbacterales	Candidatus_Nanosyncoccales	Christensenellales	Coriobacteriales	Desulfovibrionales	Eggerthellales	Enterobacterales	Erysipelotrichales	Eubacteriales	Fusobacteriales	Lachnospirales	Lactobacillales	Lysobacterales	Micrococcales	Monoglobales	Mycobacteriales	Neisseriales	OFGB10055	OFGB1011	OFGB1012	OFGB10197	OFGB10318	OFGB1126	OFGB11479	OFGB11739	OFGB11916	OFGB1192	OFGB1201	OFGB12107	OFGB1211	OFGB1217	OFGB1218	OFGB1258	OFGB1260	OFGB1262	OFGB1292	OFGB1296	OFGB1298	OFGB1306	OFGB1320	OFGB1347	OFGB1354	OFGB1359	OFGB1374	OFGB1380	OFGB14224	OFGB1473	OFGB14936	OFGB15212	OFGB1539	OFGB1670	OFGB1765	OFGB1780	OFGB1781	OFGB2106	OFGB2164	OFGB2378	OFGB2403	OFGB2404	OFGB2834	OFGB28369	OFGB2838	OFGB28386	OFGB2839	OFGB2840	OFGB2844	OFGB2845	OFGB2846	OFGB2875	OFGB2880	OFGB2881	OFGB2889	OFGB2890	OFGB2893	OFGB28941	OFGB2906	OFGB2915	OFGB2917	OFGB2918	OFGB2919	OFGB2920	OFGB2930	OFGB2932	OFGB2937	OFGB2949	OFGB2952	OFGB2959	OFGB2960	OFGB2979	OFGB2982	OFGB2984	OFGB2992	OFGB2997	OFGB2999	OFGB3002	OFGB3004	OFGB3009	OFGB3012	OFGB3023	OFGB30287	OFGB30328	OFGB3034	OFGB3038	OFGB3043	OFGB3047	OFGB3048	OFGB3054	OFGB3057	OFGB3062	OFGB3070	OFGB31223	OFGB31455	OFGB3230	OFGB32310	OFGB36777	OFGB38642	OFGB39998	OFGB40326	OFGB41334	OFGB41726	OFGB42704	OFGB4355	OFGB4405	OFGB45503	OFGB4605	OFGB4616	OFGB48199	OFGB49155	OFGB49665	OFGB49681	OFGB52309	OFGB529	OFGB628	OFGB629	OFGB658	OFGB667	OFGB67123	OFGB72728	OFGB72924	OFGB72939	OFGB73062	OFGB73144	OFGB73178	OFGB73497	OFGB73902	OFGB77202	OFGB77220	OFGB77385	OFGB77988	OFGB78183	OFGB78699	OFGB78785	OFGB79291	OFGB79315	OFGB79330	OFGB79760	OFGB8179	OFGB81848	OFGB82250	OFGB82363	OFGB8271	OFGB8301	OFGB84092	OFGB84123	OFGB84435	OFGB84486	OFGB88346	OFGB88349	OFGB88367	OFGB88381	OFGB88483	OFGB88649	OFGB89158	OFGB90573	OFGB9115	OFGB9119	OFGB91940	OFGB92029	OFGB92040	OFGB92044	OFGB9272	OFGB9345	OFGB93743	OFGB93792	OFGB93799	OFGB93803	OFGB93863	OFGB94449	OFGB94475	OFGB94479	OFGB94545	OFGB94585	OFGB94588	OFGB94700	OFGB94728	OFGB94730	OFGB94733	OFGB94768	OFGB94810	OFGB94833	OFGB9491	OFGB95106	OFGB9512	OFGB95121	OFGB95179	OFGB9644	OFGB9718	OFGB9989	Oscillatoriales	Pasteurellales	Peptostreptococcales	Propionibacteriales	Pseudomonadales	Puniceicoccales	Selenomonadales	Synergistales	Tissierellales	Unclassified	UNCLASSIFIED	Veillonellales	Verrucomicrobiales	Victivallales
BMT173D37	9658	189101	0	15551	336084	38749	0	0	0	0	0	0	0	0	209727	0	0	0	5253847	261386	6485	51220092	555225	0	9416	0	0	0	0	0	0	0	3724	0	0	0	0	0	0	9299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10859	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4225	0	0	0	8424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24859	8298	0	0	0	0	32081	2457566	12684068	27655	47729	0
BMT173D69	6765	174750	0	32983	9740169	54766	271588	0	0	0	0	0	0	0	1081665	0	1688314	565320	2147785	10932096	0	30744498	11120832	0	17411	0	0	0	0	46770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32450	14908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9942	3220601	0	0	0	35975	41213	0	0	0	0	1201088	0	0	0	0	0	0	7501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12090	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11385	0	0	0	0	0	0	0	0	14738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	323476	0	0	0	0	0	0	0	24592	0	0	0	0	0	0	0	0	18688	0	0	0	0	0	0	0	0	0	0	0	0	0	126538	0	0	0	0	75949	0	0	0	0	120305	0	0	0	0	0	0	1128147	10934591	35395	311461	0
BMT173PRE	8778	6593	0	29034	5161998	43738	18104	0	0	0	0	0	0	0	233226	23161	20917	39705	3991144	2139867	0	26645623	1077645	0	0	0	0	0	0	138751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14529	160230	0	0	0	7247	0	0	0	0	0	20576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15394	0	0	0	0	0	0	0	0	0	0	0	0	0	6051	0	0	0	0	6194	0	0	0	0	121201	0	0	0	10812	0	5398	1241599	18379213	161610	329266	0
BMT174D61	10858	15951	0	0	28941239	42153	286790	0	0	0	0	0	0	31309	20696	544024	142279	15830	1347923	5269884	0	4396643	89427	0	0	0	0	0	0	0	0	0	3177	0	0	14257	0	0	0	11902	7736	0	0	0	0	0	19627	0	0	0	0	0	0	0	0	0	0	0	0	0	6020	0	17399	0	0	0	0	0	0	267264	0	5222	0	0	0	0	0	0	11505	0	38034	0	0	0	0	0	0	0	0	0	8302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8516	123468	9334	7132	0	3390	19627	0	0	11530	417554	78608	0	0	0	5222	0	0	6907	0	0	0	4532	88421	0	0	0	0	0	5475	0	0	0	1197977	0	0	0	0	0	0	0	7824	0	0	0	0	0	0	3406	3798	0	0	0	0	0	0	9009	0	44891	0	0	9686	0	0	0	0	0	0	0	104981	0	0	0	0	0	0	0	0	0	0	0	5064	10768	12817	0	0	0	17784	0	0	5365	0	0	0	0	0	0	0	0	0	0	0	10832	10405	9434	0	0	0	0	0	0	0	0	0	0	0	256386	0	0	0	0	315747	8921279	294274	3593010	0
BMT174D7	478505	92866	0	10395	4524231	1034503	41236	0	0	0	0	0	0	9646	358804	48784	3431199	34143	479183	11017045	0	30505259	335287	0	23940	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56934	0	0	0	0	0	0	0	0	50654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	270461	0	0	0	4272	15131	0	6424	0	219479	19458	0	0	0	0	0	0	4646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22641	0	0	0	0	0	0	0	0	0	0	0	0	0	5882	0	0	0	0	0	0	0	0	5829	79369	0	0	0	0	0	6983	274992	7953113	5285	8868	0
BMT174PRE	22422	0	0	0	795471	117295	12195	0	0	0	0	0	0	0	18437	14023	13766	13339	35192	572925	0	767672	45354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11620	0	0	0	0	0	0	0	0	10112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9264	-26919	6174	10767	0
BMT180D-6	45681	42632	0	41962	6957740	170175	130274	0	0	0	0	0	0	63788	1185410	43667	524051	112175	1105214	15055183	71050	23447818	486205	0	37846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54174	0	594754	0	0	4193	0	0	0	0	0	0	0	0	0	0	54874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11757	0	0	65773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2364974	0	0	0	0	0	0	0	0	0	0	12010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10064	0	0	0	0	10146	66176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9540	0	0	0	0	18479	0	0	0	0	0	0	0	0	5416	0	0	0	0	0	0	0	0	0	70712	0	0	0	9109	0	0	566536	10732127	49556	1127829	0
BMT180D0	97619	84517	0	52885	5675135	219694	42907	0	0	0	0	0	0	79921	1541594	48937	224663	42696	1623773	8707760	27804	33739876	2153096	0	16874	0	0	0	0	22721	0	0	0	6086	0	0	0	0	0	6829	0	26470	0	941785	0	0	0	0	0	14032	0	0	0	0	0	0	0	89354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8307	0	0	10989	0	0	0	4364	33009	0	17909	0	4553	102007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	186399	0	0	4057	0	0	0	0	0	0	0	30098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9999	0	0	0	0	0	77904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9804	0	0	0	0	135328	0	0	0	0	0	0	0	0	9056	0	0	0	0	0	0	0	0	0	66919	0	0	0	9330	0	5719	520591	11143482	62666	12723	0
BMT181D3	6597	45777	0	8273	8366375	12835	0	9595	0	0	0	0	0	110000	11227	1130786	500692	4778264	12038138	435975	0	20663183	367123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	373606	0	0	0	127624	0	0	0	3828829	59445	18046	0
BMT181PRE	6928	0	0	34992	35598688	237196	0	0	0	0	0	0	0	12830	7022	198926	225855	338225	1841278	5017982	0	24065345	691069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12039	9179	0	0	0	0	0	0	388820	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27797	0	0	0	0	0	0	11306	7647621	2798421	9576	0
