Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
D20117D44_1	52.06710231947475	44.0	150.0	150	27.27272727272727	32652463.0
D20117D44_2	48.34666059649271	44.0	150.0	150	18.181818181818183	32652463.0
D20117D4_1	53.36303947380021	46.0	150.0	150	27.27272727272727	26441759.0
D20117D4_2	51.330118355400366	44.0	150.0	150	27.27272727272727	26441759.0
D20117D537_1	26.928524096592852	47.0	150.0	150	18.181818181818183	25462650.0
D20117D537_2	24.863533432088616	47.0	150.0	150	18.181818181818183	25462650.0
D20117D743_1	29.259178801150412	46.0	150.0	150	18.181818181818183	38455717.0
D20117D743_2	28.346532394145186	46.0	150.0	150	18.181818181818183	38455717.0
D20117D76_1	26.045241063732547	47.0	150.0	150	18.181818181818183	28052324.0
D20117D76_2	24.394958140489464	47.0	150.0	150	18.181818181818183	28052324.0
D20117PRE_1	45.668075344896444	49.0	150.0	150	18.181818181818183	46530435.0
D20117PRE_2	43.19133569785383	48.0	150.0	150	18.181818181818183	46530435.0
D20215D0_1	60.49524796503786	43.0	150.0	150	27.27272727272727	25982579.0
D20215D0_2	60.07980333657223	43.0	150.0	150	27.27272727272727	25982579.0
D20215D16_1	43.489274932577935	46.0	150.0	150	18.181818181818183	35093295.0
D20215D16_2	41.284348803571966	45.0	150.0	150	18.181818181818183	35093295.0
D20215D177_1	51.72656417172421	46.0	150.0	150	27.27272727272727	52700225.0
D20215D177_2	49.57414896090344	46.0	150.0	150	18.181818181818183	52700225.0
D20215D22_1	52.15382583614055	51.0	150.0	150	27.27272727272727	34209608.0
D20215D22_2	51.67363865733739	49.0	150.0	150	36.36363636363637	34209608.0
D20215D28_1	59.44722955468908	45.0	150.0	150	27.27272727272727	28707641.0
D20215D28_2	56.904921907014064	44.0	150.0	150	27.27272727272727	28707641.0
D20215D37_1	47.473657610207	42.0	150.0	150	18.181818181818183	27578961.0
D20215D37_2	44.86972097591916	42.0	150.0	150	18.181818181818183	27578961.0
D20215D70_1	34.73435399879726	46.0	150.0	150	18.181818181818183	26391135.0
D20215D70_2	33.65244755859233	45.0	150.0	150	18.181818181818183	26391135.0
D20215D91_1	38.25704213451837	45.0	150.0	150	18.181818181818183	30529919.0
D20215D91_2	35.81303354505634	44.0	150.0	150	18.181818181818183	30529919.0
D20215PRE_1	29.820861006985524	46.0	150.0	150	18.181818181818183	35330700.0
D20215PRE_2	27.454584380003496	46.0	150.0	150	18.181818181818183	35330700.0
D20231D14_1	58.38070043079931	42.0	150.0	150	18.181818181818183	33376293.0
D20231D14_2	53.663131920066995	42.0	150.0	150	18.181818181818183	33376293.0
D20231D188_1	34.75985593147759	49.0	150.0	150	18.181818181818183	28652985.0
D20231D188_2	33.12755179514218	48.0	150.0	150	18.181818181818183	28652985.0
D20231D1_1	48.502681189629996	42.0	150.0	150	18.181818181818183	29990785.0
D20231D1_2	47.47681552573396	41.0	150.0	150	18.181818181818183	29990785.0
D20231D21_1	47.55029002800135	44.0	150.0	150	18.181818181818183	27956677.0
D20231D21_2	45.21807281166769	43.0	150.0	150	18.181818181818183	27956677.0
D20231D29_1	55.07803148276803	41.0	150.0	150	27.27272727272727	31627257.0
D20231D29_2	52.38572202856974	41.0	150.0	150	27.27272727272727	31627257.0
