	ARO Accession	D13004D15	D13004D384	D13004D46	D13004D7	D13004PRE	D17010D15	D17010D22	D17010D2	D17010D31	D17010D398	D17010D64	D17010D8	D17010PRE	D18423D109	D18423D13	D18423D180	D18423D19	D18423D28	D18423D354	D18423D54	D18423D5	D18423D92	D18423PRE	D18594D5	D18594PRE	D19688D14	D19688D180	D19688D20	D19688D29	D19688D364	D19688D5	D19688D63	D19688D96	D19688PRE	D19754D110	D19754D12	D19754D171	D19754D19	D19754D-1	D19754D26	D19754D384	D19754D55	D19754D8	D19754D-9	D19836D0	D19836D13	D19836D189	D19836D21	D19836D29	D19836D365	D19836D56	D19836D8	D19836D92	D19836PRE	D19840D106	D19840D12	D19840D15	D19840D196	D19840D19	D19840D368	D19840D63	D19840D6	D19840D767	D19840PRE	D20117D108	D20117D12	D20117D196	D20117D20	D20117D267	D20117D29	D20117D357	D20117D44	D20117D4	D20117D537	D20117D743	D20117D76	D20117PRE	D20215D0	D20215D16	D20215D177	D20215D22	D20215D28	D20215D37	D20215D70	D20215D91	D20215PRE	D20231D14	D20231D188	D20231D1	D20231D21	D20231D29	D20231D69	D20231D90	D20231PRE	D20236D0	D20236D14	D20236D169	D20236D27	D20236D34	D20236D43	D20236D56	D20236D68	D20236D8	D20236D99	D20236PRE	D20248D14	D20248D194	D20248D1	D20248D21	D20248D28	D20248D54	D20248D8	D20248PRE	D20622D11	D20622D14	D20622D167	D20622D-1	D20622D20	D20622D25	D20622D276	D20622D28	D20622D32	D20622D64	D20622D7	D20622D90	D20622PRE	D20653D103	D20653D12	D20653D22	D20653D29	D20653D7	D20653PRE	D20726D0	D20726D174	D20726D28	D20726D366	D20726D62	D20726D97	D20726PRE	D20784D113	D20784D12	D20784D171	D20784D24	D20784D61	D20784D7	D20784D89	D20784PRE	D20923D22	D20923D8	D20923PRE	D21044D102	D21044D10	D21044D20	D21044D27	D21044D60	D21044PRE	D21276D13	D21276D183	D21276D30	D21276D57	D21276D5	D21276D89	D21276PRE	D21281D2	D21281D49	D21281PRE	D21309D0	D21309D10	D21309D15	D21309D181	D21309D22	D21309D365	D21309D58	D21309PRE	D21376D20	D21376D358	D21376D6	D21376D95	D21376PRE	D21590D19	D21590D6	D21590D97	D21590PRE	D21593D-3	D21593D7	D21593PRE	D21630D15	D21630D28	D21630D35	D21630D57	D21630D8	D21630D96	D21685D0	D21685D15	D21685D22	D21685D30	D21685D58	D21685D7	D21685NPE	D21685PRE	D21752D14	D21752PRE	D21754D12	D21754D20	D21754D26	D21754D54	D21754D8	D21754PRE	D20923D15	D21276D-2	D21376D50	D21630PRE	D21309D29	D20923D98
0	ARO_3000005	0.0	4.199960362366433	0.0	0.0	1.2138864017955764	2.3597276275065027	5.032163075424897	5.761211386094551	3.8803417736449184	1.856786200640029	5.662900827548968	3.3249969650389146	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3829579246863501	0.0	0.0	0.0	0.0	0.143816771523935	0.0	0.9676995349591081	0.31618682213560906	4.504493130997524	0.0	32.57839852059842	0.0	13.027158170959039	0.0	10.430464241646483	0.0	0.0	35.07449211624649	0.62501378118622	43.80244849444391	0.9772637300924193	0.0	0.4669721759280016	0.0	0.0	0.0	0.0	0.0	6.005972242702588	10.065873081040284	0.0	0.0	0.6825226345254297	0.0	0.0	10.06725815530305	0.0	0.40911749648935164	0.0	5.54618139789881	1.1112734990806126	3.866829525839877	0.0	2.8060825987888895	0.0	2.639934172924606	14.710056028890572	0.0	0.2486038472575019	0.0	0.7115121434417133	0.3115341495378898	1.2497436386987897	5.309370149525349	0.43430624000959495	0.7441215004205194	0.0	0.0	3.9997100210234757	3.1250273377746627	2.5961063244275775	0.0	0.29508074852962335	0.0	0.0	0.0	0.7072684185132788	0.45487550585060454	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.792539109076842	0.0	0.0	0.25935656407862234	0.0	0.0	0.0	0.0	0.8679793408369674	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1276405852653724	7.760619874544211	0.0	0.0	0.0	10.884372310599247	21.307400488669234	0.0	0.0	0.6619271708202992	1.8169954970222015	0.0	0.0	0.577439891657669	7.674672337667662	0.0	6.499524869655064	0.0	0.0	0.0	11.986426398843054	0.7093639966941584	0.0	0.0	0.0	1.8060727698858414	0.0	0.0	0.0	1.940979592124475	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26479474622368093	0.0	0.48423030022042907	0.4217534243359599	0.0	0.7450221878931892	0.0	0.29229048584580386	0.0	0.39390950676851155	2.0076850385512817	0.0	12.159132540764748	4.73540699994768	1.6235871576071195	1.267604889665186	4.092681162005683	0.0	0.0	0.2031776301936288	0.0	0.0	0.0	0.0	0.0	0.24913504441104078	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1339763022488323	0.0	0.19832350446276117	2.6708859618937133	0.34742203947494055	0.0	0.0	0.0	0.0	0.0	0.0	1.618534067539519	0.0	0.0	0.0	3.8570997770488473	0.4530122435407191	0.9253366850193989	0.0
1	ARO_3000010	0.0	0.0	0.0	0.405888111681705	0.0	0.0	0.4647539146093058	0.3178599385431477	0.39409721138581205	0.0	0.0	0.0	2.714480340310212	0.16502153619581408	0.0	0.0	0.0	7.261545044308695	0.0	1.0731981678876013	0.0	0.22426493871882955	1.0729531497886562	1009.5407424721423	0.0	482.7671423013498	0.6866684387042435	370.44592315068866	305.54565501068817	0.719083857619675	25.69652693407619	0.0	0.6534527657469255	0.0	0.0	0.0	0.44560929375605124	1.664114398612832	0.3784441640433895	0.6784041783184704	32.30343256834397	0.0	0.0	0.0	0.26273962250309113	0.0	0.37677166162259684	0.4669721759280016	0.0	0.3608559253733999	0.0	0.0	0.24579591091818584	0.0	0.0	0.4196203068674576	0.0	0.0	1.5876950433348342	0.0	1.367517726298391	0.0	0.0	0.0	0.306572841089884	0.0	0.6137824644190281	0.0	0.9920494036122337	0.0	0.17999551179031403	0.20669867956286517	0.0	0.0	0.0	0.0	0.7668532911701903	0.0	0.0	0.0	0.6201012503504328	1.354480696962139	0.4027034325493432	8.916020255198164	1.2073969259583923	0.48299652547489813	0.7917584407071264	0.0	0.26739533245489044	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.628901965091025	0.0	1.6828850669954611	0.0	0.0	0.0	0.0	0.0	0.25597300666760614	20.347876037356997	0.0	256.0064916835437	0.0	429.8062683178923	0.3950330406859832	52.76053532113689	0.3946029482989099	0.0	1211.7928087384885	1166.1421437878819	0.22642939326181757	1188.1689593451817	0.46807927329460086	1123.197379423079	7.101434670945886	0.5027160995347381	0.0	1120.6660442787552	9.924362028474913	0.3888415811259905	10.592694425918165	121.76590585490578	0.0	0.0	700.9931563382663	450.4345604823542	0.9215442755712204	0.0	0.413704481762687	0.0	0.1999114714172365	0.0	0.3039157324514047	0.0	1.1913459622328502	0.0	328.2551531989756	457.37066721584466	187.19907156055186	0.0	0.0	0.0	0.0	0.0	0.0	0.6969602466566417	0.0	0.0	0.3947755102626051	0.0	0.21571793067744396	0.0	0.0	0.0	0.0	0.0	1.1768655387719151	0.3392592423716881	0.22349090779404418	0.8435068486719198	0.0	0.28381797634026257	0.0	0.0	2.1555372082695	0.0	0.0	0.0	0.39866008330376224	0.599418607588314	0.1910102538361317	0.0	0.34831329038346237	0.9308357728167032	0.0	0.0	0.2211899914483968	0.0	0.0	0.0	0.0	0.4270886475617842	0.0	0.0	0.0	0.0	0.0	0.0	0.511297845810551	0.4329806990070095	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6730101317394989	0.0	0.0	0.24621857506263342	0.19462546511379564	0.0	0.0	0.0	0.5783354281371244	1.084640776259428
2	ARO_3000013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1418390430943726	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.97987145191536	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	ARO_3000024	0.0	0.13341620912542235	0.0	0.0	0.10558202837362282	0.0	0.1853910031056712	0.3386755451380087	0.12920164533928324	0.12972990486409952	0.0	0.0	0.0	1.2307977938569215	0.0	1.6215640880375204	0.7922320104731774	3.604662685472667	0.9616599626513773	0.258327346606573	0.0	1.3881933551846368	0.0	2.160170218848043	0.0	0.1586741672580226	0.17214967208743556	0.0	0.0	0.8464401844972127	1.9485012740831475	1.0767835167149502	0.898380964840763	0.14220674479766682	2.9161790805651266	0.8815708232909227	1.4650687151880368	0.8596808735553123	0.32642204591825097	0.0	0.764863968776522	0.6754696838617313	0.3681911897463776	0.5820013804195264	0.18282160331947073	57.47763656011174	1.4452027346344989	6.084358177542613	0.9567685900545169	0.8094467333946408	0.13449720299650272	3.7330411103774743	1.3468745844295635	0.2338608660875344	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9607795973181033	0.8933588574251102	0.16968794422352387	0.0	0.186850590938182	0.0	0.0	0.0	0.0	0.16779786612301031	0.0	0.0	0.7592752704484035	0.2964026367462824	0.0	0.0	0.7517692247115538	0.0	3.6496342616495094	0.0	0.0	0.2790358171009003	0.0	0.1286565966088003	21.55887388403318	1.774140358858638	26.002049481540134	0.0	2.0946218059476593	0.40908906047812305	0.2556468465828857	1.0532112325607639	1.0541105440424903	0.0	0.0	0.0	1.4158438356083456	0.726563762205867	0.3727328034755384	0.19457640132243578	2.972178322058607	0.46766536828204347	0.1363679203662822	0.0	2.6031073254280255	0.0	2.8609743765559204	0.2721984022813724	0.40085948671380006	0.270701364479533	0.24025383046871682	0.0	0.0	0.0	0.1378614358974606	0.0	0.0	0.0	0.8375764304480307	0.26235297836654853	1.245168823598913	0.0	0.993822932520776	0.0	0.26872322142447264	0.7076230049291627	0.0	2.076672081948692	0.6988415006953376	0.13801065276035052	0.0	0.0	0.25188379066613154	0.41746298278553173	0.32457602910928307	0.44836473362511786	0.0	0.8211475982865359	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.136503926208695	0.5531520306314859	0.33949912125589343	0.0	0.5222694618921928	0.0	0.0	0.2804187105346174	0.6986851904812034	0.0	0.0	0.09719343784226692	0.0	6.735680094094083	1.3024966109021046	0.19704686719968703	0.1377052264021955	2.1771574451299456	1.4221904443775433	1.2575011594632253	3.2184456184284285	0.0	0.0	0.0	0.0	0.0	0.22295844935412873	0.558265235238826	0.3649557540006726	2.1321026563891516	3.4433291706738993	0.34461438818469997	0.0	0.23138525786232006	0.3504963956850564	0.17956190456223833	0.1579637511894114	0.0	0.523215228476746	0.0	0.0	0.0	0.0	0.39063821904092444	0.17425788073162618	0.3899954088190755	0.27864064558075075	0.23347760038782683	0.1318100535030188	0.09739555149850707	0.0	0.0	0.0	0.0	0.0	0.0	0.9690691668436485	3.0732144068812515	0.8373025735318271	0.0	0.0	0.43449130382926415	0.0	0.32317341640938624	0.0	0.22887752518842655	0.170421433986066
4	ARO_3000025	0.5980658633524383	0.0	0.0	0.0	0.10127987441612375	0.0	0.14975736467476256	0.0	0.1947582405490287	0.0	0.0	0.0	0.0	0.0722844759567403	0.0	0.0	0.784465455356539	1.299056743575682	0.0	0.1311889101662263	0.0	0.13097986234172726	0.0	2.3311684131668717	0.23755993513038273	0.17395276158289164	0.16513508443022257	0.0	0.883314694767413	0.0	1.2460704242863367	0.8964860044021384	0.16004385609399477	1.3056600350025898	1.2882548770926499	1.294900691999639	3.6956065842776895	0.7068440847325997	0.681499337852895	0.0	0.0	0.8937190360795696	0.0	0.4723963143930204	0.0	50.56949893251068	0.0	5.345523258025396	0.34416866726281964	0.7320948020442919	0.0	3.222837698857293	0.28710965485859397	0.0	0.0	0.18380651811851284	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10754219070975161	0.0	0.0	0.0	0.0	0.0	0.0	0.19359303555536084	0.0971116078785168	0.0	0.0	0.0	0.37859685276751215	0.0	0.0	0.0	0.2587147349349261	0.0	0.0	0.0	20.012474995937833	0.23696637360698103	26.50424091802207	0.0	1.7790430855729404	0.7641861146720724	0.3882808288154044	0.5158958318651865	0.5275610458852945	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.857269034429249	0.33645704551700495	0.5045579978626328	0.0	0.0	0.0	0.0	0.0	0.30762052291109954	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6080144601334303	0.6081852787968163	1.602010549242818	0.0	0.552930008466992	0.0	0.12888677428253567	0.0	0.0	1.9182740919214167	0.6472497243135789	0.0	0.0	0.0	0.1449721647467209	0.5205883885500391	0.3243234586282275	0.3288963316165476	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12428924356339073	0.8672003835768229	0.6822163656951507	1.4654949334348202	0.12657841076551363	0.6888592329499105	0.0	0.0	0.2882062299030903	0.2144690703548414	0.14398635586328543	0.0	1.212030222328439	0.0	5.8458667483305025	0.8110294477975902	0.0	1.8493180659445951	0.7396575148724224	0.9284413896574298	0.19513057290681976	1.7197731028156147	0.0	0.17070955370281243	0.0	0.0	0.1512993380276337	0.21387355498316252	0.6752178253036217	0.4551103587665433	0.74371847560418	0.2847434256528823	0.2034291543156385	0.0	0.0	0.1779960223767614	0.12918396784082936	0.6818723894721196	0.0	0.7026540674450017	0.0	0.0	0.0	0.0	0.0	0.0	0.35441455702707514	0.0	0.0	0.1083764446701998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14301268885115878	1.984979967500607	0.0	0.0	0.0	0.13261406904188452	0.0	0.0	0.0	0.28710573716009363	0.0
5	ARO_3000026	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17901863571947327	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5332752929912506	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6255805847304452	0.0	0.730601251396673	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.39944819778575896	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8491938063024591	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5479201649060104	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17138113301343483	0.0	0.0	0.0	1.2345403162999509	0.0	0.0	0.0	0.0	8.099955637711826	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34181913093297284	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6	ARO_3000027	0.31185787346363125	20.21062211425329	0.6060868415062922	0.0	0.40684634974320133	0.8109677747984304	4.652867482709974	0.0	3.9206586239145667	8.676783479876528	5.698587998235592	0.0	0.0	0.0	0.0	0.0	0.29542848670396515	6.762785435611103	0.0	0.0	0.1773834636723462	0.0	0.0	0.0	4.866880062323319	0.0	0.0	0.18817356686508346	0.0	0.3374115560391041	0.2208320986624499	0.0	0.0	0.8806738488565775	0.0	0.0	0.0	0.08873213254635576	0.1942228361075196	0.37303554562268837	0.0	0.3365732175517049	0.0	0.0	0.0	0.0	0.26518557871749016	0.0	6.250245789835573	0.16709441153378593	0.2776431117757546	0.0	0.0	1.5053331963806997	0.0	1.845900071130504	1.547055475456098	0.8006403624100522	0.0	0.0	45.360779527902146	0.0	0.3856496678635467	0.46340537492508505	3.9477401141413933	0.5057034355107118	1.377007615827037	0.0	1.770538153732203	0.0	2.639320377487981	0.0	0.5114150848207957	4.410863827044441	4.291124347450369	0.428305600413426	0.0	0.0	0.0	7.049756634508689	0.5091914103474313	0.0	0.5314449391188263	0.0	0.49988812099255236	0.0	0.0	0.0	0.0	0.0	1.7340785544496888	0.0	0.21549089476455946	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3500923838270882	0.0	0.0	0.0	0.16890290465535135	0.0	3.2091318287652926	0.0	0.25986051516689873	0.0	1.1874565229827594	0.0	8.818114376103722	0.7152685198843027	0.0	0.0	2.158124992896096	0.0	324.88005655633265	0.0	75.1699806456632	25.08400887148707	114.04566773067843	0.0	40.9284751174317	2.360497127776601	3.138826971476603	0.0	0.0	0.3334241904805374	0.0	0.0	0.3378210046851021	302.55166629984654	1.4559011941316045	0.2714577068368835	5.74545227998114	25.30592951208052	1.2032264803958426	0.0	0.0	3.231131275107426	7.385252734845324	12.329402830675539	0.3657429890414353	0.0	0.0	39.26500835037922	207.44994800223233	0.0	9.502067561093508	0.0	0.0	0.0	0.40520862263953666	0.2826905297547989	15.860824395151194	20.85579788808942	31.08532833836731	26.086664788789214	6.141150298917529	0.462276133720808	5.61704979144795	0.0	0.39325254363760204	0.28542824704223924	0.587886994588833	0.0	0.6234956695133526	0.5143116477286779	5.80782211997933	0.0	0.0	4.367299208292155	0.0	0.0	0.16804994199393683	0.1715742994471076	0.22983332204330767	0.0	0.2735629007742147	4.379491220644255	0.22703559224541325	1.512220118084055	0.5219355911667826	5.625032057352556	0.0	0.3444380738222062	0.0	0.0	45.51097601470234	0.9652519864055763	0.0	0.0	0.0	0.1904672128624185	0.0	0.0	0.8596950635251426	0.0	0.5483481167679805	0.4736212193839908	0.0	0.0	0.17763336469441504	0.0	0.3164397381265101	0.0	69.9762337245973	209.65645048700804	0.0	0.3678997720511683	0.0	0.6156528785302255
7	ARO_3000074	0.26410315903027903	1.812258513168911	0.0	0.0	0.13566501696480776	0.0	0.5910562656723846	0.0	0.5285358312542664	10.062828279134113	5.584330594762197	0.0	0.0	0.0	0.0	0.3329705886659791	0.0	33.186088477086166	0.4471916698749203	0.8535377241679168	0.0	0.0	0.0	0.14869592758883338	0.24547859963472882	0.0	0.0	0.0	0.0	0.25716943160095457	0.0	0.13425635814718015	0.1837540569968088	0.8054818126384137	0.0	0.0	0.0	0.0	0.2326238981059431	0.0	0.0	0.20522437124790116	0.0	0.0	0.0	0.3669787231286621	0.0	0.0	12.118136284364958	0.20377049484510032	0.0	0.4111439039694489	0.0	1.4985661736177995	0.0	0.0	0.1725570363438409	0.0	0.0	0.0	45.050552027203636	0.0	0.0	0.0	4.690895869407219	0.4368305049824173	1.0906902428155671	0.0	2.8319957800918214	0.0	0.26151394695460833	0.0	0.2227382881257935	4.056491106127607	3.2892061261075414	0.6780060314236825	0.1285563022234627	0.0	0.0	7.426382723906758	0.4989820587615179	0.0	0.0	0.0	0.0	0.36436579991966	0.0	0.0	0.0	0.0	8.843278222316385	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5363956767401103	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7144390221832895	0.0	0.0	0.0	0.0	0.0	323.57654085137426	0.0	80.50481408055057	24.680826607623036	115.20281985933744	0.0	42.797347590219736	1.903428808038182	0.0	0.0	0.0	0.0	0.0	0.0	0.2574815064948829	304.13874999276686	0.0	0.0	13.375579913026069	62.39472629539222	0.0	0.0	0.0	3.580656671454137	0.0	18.121578429491922	0.15010324801415634	0.0	0.0	39.25802371366824	206.743844765324	0.0	0.0	0.0	0.0	0.24478336969897188	0.4632648288071896	0.0	15.126566607637374	19.340059750478762	37.01986897021692	28.456450084224084	6.270347326060154	0.2768378795785568	0.4340408575743594	0.0	0.0	0.0	0.0	0.0	0.5702615363268324	0.0	13.550891806372587	0.0	0.0	4.283632066267704	0.0	0.0	0.0	0.21795175790714447	0.0	0.0	0.0	3.9737795119091794	0.0	0.13048175354096117	0.0	5.624206736670892	0.0	0.0	0.0	0.0	47.00318200404457	0.35185598724725686	0.0	0.0	0.0	0.0	0.0	0.0	0.24025656063818313	0.0	0.45009110679081193	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63.557923819851766	198.59738550490044	0.0	0.0	0.0	0.0
8	ARO_3000118	0.1469999138327665	0.545245266950189	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6858820351400685	0.0	0.0	0.0	0.0	0.0	0.0	0.1663178268196184	0.0	0.0	0.0	0.0	0.2141774236102079	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2953612789769905	2.9249927755775205	0.0	1.3251347964148608	0.7168068137764391	0.0	0.0	0.0	0.0	0.0	0.0	0.5067881474243432	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1620991101952629	3.6002502973932304	0.0	0.0	0.0	0.3313566715213969	0.0	0.0	0.0	0.4514843433028065	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2145444807821475	0.0	0.0	0.0	0.0	0.1735242316675911	0.0	0.0	0.3199400932715503	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9285169162717912	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.6513145432799488	0.0	0.2573496233749807	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24525032755412465	0.0	0.13639562523272208	0.0	0.5278026617687922	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1324033571570363	0.0	0.0	0.18677341078257392	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22727831629963047	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5426997557339963	0.0	0.14551230197520848	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16449255101914367	0.5673261938199675	0.324176803560704	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9	ARO_3000124	4.1519572436582735	0.0	0.0	0.0	0.9621588069531757	0.0	0.4001329587403812	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.6290542527323946	0.9001016891960527	0.7457734870525523	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3303581073631159	1.2634226057532785	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	71.12136875569247	2.6338463286363005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.7895631191495904	0.0	0.0	0.0	0.0	0.0	0.0	0.7441453241896873	0.0	0.0	5.818804059528346	0.0	0.0	0.0	0.0	5.287509783605793	1.3838404122688646	0.0	0.9972184935580096	0.0	0.0	0.0	0.0	2.9605267237608435	6.032757228255322	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.4854278401386667	0.0	0.0	0.0	0.0	98.89217233447211	0.0	545.5881525822683	161.9596744124054	149.9207403570067	19.70073220950547	20.58831034960558	0.0	0.9322663969533679	0.6213538307012052	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.35599688212844	0.7682096639324465	1.267925709070861	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1803694899080364	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.4205570557770746	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.430053229052355	0.0	0.5905244991595785	0.0	0.0	0.0	0.0	0.0	0.0	1.5483443235410637	0.7483064552796048	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8975688619905768	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
